Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
What is a monitor?,dedicated memory on a graphics card used to store image data for rendering,"a socket on a motherboard used to install additional hardware components, such as graphics cards",an output device that visually displays information processed by a computer,a port used to connect a computer to a wired network using an ethernet cable,C,a monitor is: an output device that visually displays information processed by a computer,Hardware,Output Devices
How many Petabyte (PB)s is 38 Byte(s) equal to?,3.37508e-15,3.37508e-17,3.29597e-17,3.37508e-14,D,"1 Byte = 1024^-5 Petabyte (PB)(s) (relative scale), so 38 Byte(s) = 3.37508e-14 Petabyte (PB)(s).",Hardware,Storage Units
How many Megabyte (MB)s is 45 Kilobyte (KB)(s) equal to?,45,4.29153e-05,0.0439453,4.39453e-05,C,"1 Kilobyte (KB) = 1024^-1 Megabyte (MB)(s) (relative scale), so 45 Kilobyte (KB)(s) = 0.0439453 Megabyte (MB)(s).",Hardware,Storage Units
What is an ethernet cable?,a wireless networking technology that allows devices to connect to the internet without physical cables,"a basic networking device that connects multiple devices, broadcasting data to all connected ports",a cable used to connect devices within a local area network for wired internet access,a device that converts digital data into analog signals (and vice versa) for transmission over communication lines,C,an ethernet cable is: a cable used to connect devices within a local area network for wired internet access,Hardware,Networking Hardware
Which statement correctly describes the GPU (Graphics Processing Unit)?,"a keyboard that uses individual mechanical switches for each key, often preferred for tactile feedback","a small, portable data storage device that uses flash memory and connects via a USB port","a specialised processor designed to accelerate rendering of images, video, and animations",a wireless networking technology that allows devices to connect to the internet without physical cables,C,"By definition, the GPU (Graphics Processing Unit) is: a specialised processor designed to accelerate rendering of images, video, and animations",Hardware,Processors
How many Bytes is 46 Megabyte (MB)(s) equal to?,47104,4.82345e+07,9.6469e+07,4.82345e+10,B,"1 Megabyte (MB) = 1024^2 Byte(s) (relative scale), so 46 Megabyte (MB)(s) = 4.82345e+07 Byte(s).",Hardware,Storage Units
How many Bytes is 32 Petabyte (PB)(s) equal to?,3.68935e+19,3.60288e+15,3.60288e+17,3.60288e+16,D,"1 Petabyte (PB) = 1024^5 Byte(s) (relative scale), so 32 Petabyte (PB)(s) = 3.60288e+16 Byte(s).",Hardware,Storage Units
How many Gigabyte (GB)s is 22 Byte(s) equal to?,2.04891e-08,2.09808e-05,2.04891e-05,2.00089e-11,A,"1 Byte = 1024^-3 Gigabyte (GB)(s) (relative scale), so 22 Byte(s) = 2.04891e-08 Gigabyte (GB)(s).",Hardware,Storage Units
"Fill in the blank: ______ refers to ""the physical components of a computer system, such as the CPU, memory, and storage devices"".",a data centre,a DAC (Digital-to-Analog Converter),a hard disk drive (HDD),hardware,D,"hardware refers to: the physical components of a computer system, such as the CPU, memory, and storage devices",Hardware,Hardware Basics
Which statement correctly describes a webcam?,"an input device used to capture video, typically for video calls or streaming",an input device that allows users to draw or write digitally using a stylus,"a touch-sensitive input device built into laptops, used as an alternative to a mouse",an input device used to read and decode information stored in barcodes,A,"By definition, a webcam is: an input device used to capture video, typically for video calls or streaming",Hardware,Input Devices
How many Terabyte (TB)s is 41 Gigabyte (GB)(s) equal to?,3.91006e-05,0.0400391,0.0200195,4.00391e-05,B,"1 Gigabyte (GB) = 1024^-1 Terabyte (TB)(s) (relative scale), so 41 Gigabyte (GB)(s) = 0.0400391 Terabyte (TB)(s).",Hardware,Storage Units
How many Petabyte (PB)s is 40 Byte(s) equal to?,3.46945e-17,3.55271e-11,3.55271e-13,3.55271e-14,D,"1 Byte = 1024^-5 Petabyte (PB)(s) (relative scale), so 40 Byte(s) = 3.55271e-14 Petabyte (PB)(s).",Hardware,Storage Units
How many Kilobyte (KB)s is 29 Byte(s) equal to?,28.3203,0.0283203,0.0141602,2.83203e-05,B,"1 Byte = 1024^-1 Kilobyte (KB)(s) (relative scale), so 29 Byte(s) = 0.0283203 Kilobyte (KB)(s).",Hardware,Storage Units
How many Gigabyte (GB)s is 26 Kilobyte (KB)(s) equal to?,2.47955e-05,1.23978e-05,0.0247955,0.000247955,A,"1 Kilobyte (KB) = 1024^-2 Gigabyte (GB)(s) (relative scale), so 26 Kilobyte (KB)(s) = 2.47955e-05 Gigabyte (GB)(s).",Hardware,Storage Units
What is clock speed?,a data storage device that uses spinning magnetic disks to store and retrieve digital information,"the rate at which a CPU executes instructions, measured in hertz (Hz), typically gigahertz (GHz)",a device that converts analog signals into digital data that a computer can process,a networking device that connects devices within a network and forwards data based on MAC addresses,B,"clock speed is: the rate at which a CPU executes instructions, measured in hertz (Hz), typically gigahertz (GHz)",Hardware,Processors
How many Bytes is 16 Megabyte (MB)(s) equal to?,1.67772e+06,1.67772e+08,1.67772e+07,8.38861e+06,C,"1 Megabyte (MB) = 1024^2 Byte(s) (relative scale), so 16 Megabyte (MB)(s) = 1.67772e+07 Byte(s).",Hardware,Storage Units
How many Megabyte (MB)s is 33 Kilobyte (KB)(s) equal to?,0.0322266,3.22266e-05,0.0161133,0.322266,A,"1 Kilobyte (KB) = 1024^-1 Megabyte (MB)(s) (relative scale), so 33 Kilobyte (KB)(s) = 0.0322266 Megabyte (MB)(s).",Hardware,Storage Units
How many Megabyte (MB)s is 12 Byte(s) equal to?,0.000114441,1.14441e-05,2.28882e-05,0.0117188,B,"1 Byte = 1024^-2 Megabyte (MB)(s) (relative scale), so 12 Byte(s) = 1.14441e-05 Megabyte (MB)(s).",Hardware,Storage Units
How many Gigabyte (GB)s is 33 Kilobyte (KB)(s) equal to?,0.0322266,0.0314713,6.29425e-05,3.14713e-05,D,"1 Kilobyte (KB) = 1024^-2 Gigabyte (GB)(s) (relative scale), so 33 Kilobyte (KB)(s) = 3.14713e-05 Gigabyte (GB)(s).",Hardware,Storage Units
