Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
What is the medieval feudal system in Japan?,a French heroine who led French forces during the Hundred Years' War and was later canonised as a saint,"a powerful empire that lasted from the 14th to early 20th century, spanning parts of Europe, Asia, and Africa",a hierarchical system involving daimyo lords and samurai warriors,a medieval European social and economic system based on land ownership and obligations between lords and vassals,C,the medieval feudal system in Japan is: a hierarchical system involving daimyo lords and samurai warriors,History,Medieval History
"Fill in the blank: ______ refers to ""a war fought between North and South Korea from 1950 to 1953, involving international forces on both sides"".",Christopher Columbus,Mao Zedong,the Korean War,the Cold War,C,"the Korean War refers to: a war fought between North and South Korea from 1950 to 1953, involving international forces on both sides",History,Modern History
Which event happened closest to the year 1912?,The reign of Ashoka the Great,The atomic bombings of Hiroshima and Nagasaki,The sinking of the Titanic,The Russian Revolution,C,The sinking of the Titanic occurred in approximately 1912.,History,Modern History
Which event happened closest to the year 1642?,The Black Death,The English Civil War,The American Civil War,The American Declaration of Independence,B,The English Civil War occurred in approximately 1642.,History,Modern History
"Fill in the blank: ______ refers to ""the hereditary military nobility of medieval and early-modern Japan"".",the medieval feudal system in Japan,the samurai,Joan of Arc,the Byzantine Empire,B,the samurai refers to: the hereditary military nobility of medieval and early-modern Japan,History,Medieval History
"Which term matches this description: ""a period of agricultural transformation in India starting in the 1960s that significantly increased food grain production""?",the Lal Bal Pal trio,the Green Revolution in India,Lala Lajpat Rai,the Mountbatten Plan,B,The description matches the Green Revolution in India: a period of agricultural transformation in India starting in the 1960s that significantly increased food grain production,History,Indian History
What is the Champaran Satyagraha?,a 1918 labour movement in Gujarat supported by Gandhi to improve conditions for textile mill workers,the chief architect of the Indian Constitution and a leader for social justice and rights of marginalised communities,"Gandhi's first major satyagraha campaign in India, launched in 1917 to support indigo farmers in Bihar",a 1962 border war fought between India and China in the Himalayan region,C,"the Champaran Satyagraha is: Gandhi's first major satyagraha campaign in India, launched in 1917 to support indigo farmers in Bihar",History,Indian History
What is the Cabinet Mission Plan?,a set of major economic reforms launched in 1991 that opened up India's economy to global trade and investment,a 1954 treaty between India and China outlining five principles of peaceful coexistence,"a 1946 British plan proposing a federal structure for a united, independent India, which ultimately failed to prevent partition",a British colonial policy allowing annexation of princely states without a natural heir,C,"the Cabinet Mission Plan is: a 1946 British plan proposing a federal structure for a united, independent India, which ultimately failed to prevent partition",History,Indian History
What is Otto von Bismarck?,the Prussian statesman credited as the architect of German unification in 1871,the ruler of the Kingdom of Mysore known for his resistance against British expansion in India,"an international organisation founded after World War I to maintain world peace, later succeeded by the United Nations","a period of geopolitical tension between the United States and the Soviet Union, roughly from 1947 to 1991",A,Otto von Bismarck is: the Prussian statesman credited as the architect of German unification in 1871,History,Modern History
Which statement correctly describes Queen Victoria?,an Italian explorer whose voyages across the Atlantic led to European awareness of the Americas,the British monarch whose long reign (1837-1901) is associated with significant industrial and colonial expansion,the ruler of the Kingdom of Mysore known for his resistance against British expansion in India,established in 1945 after World War II to promote international peace and cooperation,B,"By definition, Queen Victoria is: the British monarch whose long reign (1837-1901) is associated with significant industrial and colonial expansion",History,Modern History
"Which term matches this description: ""an ancient Indian mathematician and astronomer known for his contributions to the concept of zero and planetary motion""?",Ashoka's edicts,the ancient Egyptian civilisation,Cleopatra,Aryabhata,D,The description matches Aryabhata: an ancient Indian mathematician and astronomer known for his contributions to the concept of zero and planetary motion,History,Ancient History
Which statement correctly describes Jawaharlal Nehru?,"India's first Prime Minister, who served from 1947 until his death in 1964",an act that provided for a federal structure and expanded provincial self-governance in British India,a 1954 treaty between India and China outlining five principles of peaceful coexistence,a powerful empire that ruled much of the Indian subcontinent from the 16th to 19th centuries,A,"By definition, Jawaharlal Nehru is: India's first Prime Minister, who served from 1947 until his death in 1964",History,Indian History
