Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
A shopkeeper buys an item for ₹665 and sells it at a 50% loss. What is the selling price?,333,353,253,283,A,Loss amount = 50% of 665 = ₹332. Selling price = 665 - 332 = ₹333.,Aptitude,Profit and Loss
Is 531 divisible by 3?,No,Only sometimes,Cannot say,Yes,D,"531 ÷ 3 leaves remainder 0, so the answer is Yes.",Aptitude,Divisibility
A quantity of 422 is decreased by 40%. What is the new value?,248,253,273,238,B,"40% of 422 = 169. Since it decreased, new value = 422 - 169 = 253.",Aptitude,Percentage
"Find the average of these numbers: 100, 51, 96, 90, 83.",86,83,84,79,C,"Sum = 420, Count = 5, Average = 420/5 = 84.",Aptitude,Averages
Is 856 divisible by 3?,No,Yes,Cannot say,Only sometimes,A,"856 ÷ 3 leaves remainder 1, so the answer is No.",Aptitude,Divisibility
A vehicle covers 249 km at a speed of 83 km/h. How long does it take?,6,2,3,5,C,Distance = Speed × Time = 83 × 3 = 249 km. So the answer is 3 hours.,Aptitude,Time and Distance
Find the Simple Interest on ₹16097 at 4% per annum for 1 years.,644,844,944,544,A,SI = (P × R × T)/100 = (16097 × 4 × 1)/100 = ₹644.,Aptitude,Simple Interest
"Two numbers are in the ratio 12:11. If their sum is 184, find the larger number.",99,96,81,101,B,Total parts = 12+11 = 23. Each part = 184/23 = 8. Larger number = 12 × 8 = 96.,Aptitude,Ratios
A quantity of 141 is increased by 15%. What is the new value?,167,152,177,162,D,"15% of 141 = 21. Since it increased, new value = 141 + 21 = 162.",Aptitude,Percentage
A quantity of 230 is decreased by 12%. What is the new value?,182,192,202,197,C,"12% of 230 = 28. Since it decreased, new value = 230 - 28 = 202.",Aptitude,Percentage
A quantity of 449 is decreased by 15%. What is the new value?,397,382,372,362,B,"15% of 449 = 67. Since it decreased, new value = 449 - 67 = 382.",Aptitude,Percentage
What is the HCF (Highest Common Factor) of 41 and 75?,5,1,2,3,B,"HCF(41,75) = 1.",Aptitude,LCM and HCF
Find the Compound Interest on ₹16359 at 10% per annum for 2 years (compounded annually).,3435,3415,3535,3285,A,Amount = P(1+R/100)^T = 16359(1+10/100)^2 ≈ ₹19794. CI = Amount − P = ₹3435.,Aptitude,Compound Interest
