Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
A team needs 233 runs to win from 1.4 overs remaining. What is the required run rate (runs per over)?,168.43,166.93,166.43,164.93,C,Required run rate = Runs needed / Overs remaining = 233 / 1.4 ≈ 166.43.,Cricket,Scoring Calculations
A team scores at a run rate of 7.23 runs per over for 29 overs. Approximately how many runs have they scored?,210,220,190,230,A,Runs ≈ Run rate × Overs = 7.23 × 29 ≈ 210 runs.,Cricket,Scoring Calculations
A team scores at a run rate of 8.26 runs per over for 48 overs. Approximately how many runs have they scored?,381,401,386,396,D,Runs ≈ Run rate × Overs = 8.26 × 48 ≈ 396 runs.,Cricket,Scoring Calculations
What is stumping?,an ICC competition determining the best Test cricket team over a two-year cycle,"a method of dismissal where the wicketkeeper breaks the stumps while the batsman is out of the crease, typically off a spin delivery","an Australian cricketer regarded as the greatest Test batsman ever, with a Test batting average of 99.94","a dismissal on the very first ball a batsman faces, for zero runs",B,"stumping is: a method of dismissal where the wicketkeeper breaks the stumps while the batsman is out of the crease, typically off a spin delivery",Cricket,Rules
Which statement correctly describes Shane Warne?,"an Australian cricketer regarded as the greatest Test batsman ever, with a Test batting average of 99.94","the Indian captain who led India to victory in the 2007 T20 World Cup, 2011 World Cup, and 2013 Champions Trophy",an Australian leg-spin bowler regarded as one of the greatest bowlers in cricket history,a West Indian batsman who holds the record for the highest individual score in Test cricket (400 not out),C,"By definition, Shane Warne is: an Australian leg-spin bowler regarded as one of the greatest bowlers in cricket history",Cricket,Players
The 1979 Cricket World Cup title was lifted by which team?,West Indies,Sri Lanka,Pakistan,South Africa,A,West Indies won the Cricket World Cup in 1979.,Cricket,World Cup History
"Fill in the blank: ______ refers to ""a method of dismissal where a fielder breaks the stumps with the ball while a batsman is out of their crease"".",a yorker,a googly,the Ranji Trophy,a run-out,D,a run-out refers to: a method of dismissal where a fielder breaks the stumps with the ball while a batsman is out of their crease,Cricket,Rules
A team needs 7 runs to win from 4.1 overs remaining. What is the required run rate (runs per over)?,3.21,0.71,2.71,1.71,D,Required run rate = Runs needed / Overs remaining = 7 / 4.1 ≈ 1.71.,Cricket,Scoring Calculations
A team scores at a run rate of 8.49 runs per over for 9 overs. Approximately how many runs have they scored?,76,56,86,61,A,Runs ≈ Run rate × Overs = 8.49 × 9 ≈ 76 runs.,Cricket,Scoring Calculations
A team needs 96 runs to win from 7.1 overs remaining. What is the required run rate (runs per over)?,15.02,12.52,11.52,13.52,D,Required run rate = Runs needed / Overs remaining = 96 / 7.1 ≈ 13.52.,Cricket,Scoring Calculations
A team scores at a run rate of 7.21 runs per over for 42 overs. Approximately how many runs have they scored?,308,293,283,303,D,Runs ≈ Run rate × Overs = 7.21 × 42 ≈ 303 runs.,Cricket,Scoring Calculations
A team needs 147 runs to win from 17.4 overs remaining. What is the required run rate (runs per over)?,6.45,10.45,8.45,8.95,C,Required run rate = Runs needed / Overs remaining = 147 / 17.4 ≈ 8.45.,Cricket,Scoring Calculations
A team scores at a run rate of 4.41 runs per over for 11 overs. Approximately how many runs have they scored?,39,64,49,59,C,Runs ≈ Run rate × Overs = 4.41 × 11 ≈ 49 runs.,Cricket,Scoring Calculations
