Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Which statement correctly describes AI in agriculture?,a system that uses AI to identify potential new medications by analysing molecular data,an AI research and deployment company known for developing models such as GPT and DALL-E,"the application of AI for tasks such as crop monitoring, yield prediction, and precision farming","a search technique that understands the intent and contextual meaning of a query, rather than just matching keywords",C,"By definition, AI in agriculture is: the application of AI for tasks such as crop monitoring, yield prediction, and precision farming",AI – Artificial Intelligence,AI Applications
What is fuzzy logic?,a formal representation of a set of concepts and the relationships between them within a specific domain,the ability of an AI model to correctly perform a task it has not been explicitly trained on,a form of logic used in AI that allows for degrees of truth rather than strict true/false values,"a field of AI inspired by the collective behaviour of decentralised systems, such as ant colonies or bird flocks",C,fuzzy logic is: a form of logic used in AI that allows for degrees of truth rather than strict true/false values,AI – Artificial Intelligence,AI Basics
"Which term matches this description: ""a type of neural network used to learn efficient representations of data, often for dimensionality reduction or denoising""?",model compression,an autoencoder,a pretrained model,a closed-source AI model,B,"The description matches an autoencoder: a type of neural network used to learn efficient representations of data, often for dimensionality reduction or denoising",AI – Artificial Intelligence,AI Basics
Which statement correctly describes an AI hackathon?,an AI application that automatically translates text or speech from one language to another,AI applications that identify unusual patterns in data to detect potentially fraudulent activity,"an AI-powered application that performs tasks or services for a user based on commands, such as Siri or Alexa",an event where participants collaboratively build AI-based projects or solutions within a limited time frame,D,"By definition, an AI hackathon is: an event where participants collaboratively build AI-based projects or solutions within a limited time frame",AI – Artificial Intelligence,AI Applications
Which statement correctly describes an AI model's pretraining objective?,a decoding strategy where the model chooses the next word from only the k most likely candidates,"the task, such as predicting the next word, that a model is trained to perform during its initial large-scale training phase",a technique that combines a language model with an external knowledge source to improve factual accuracy,the practice of basing an AI model's output on verifiable external sources rather than only its internal training knowledge,B,"By definition, an AI model's pretraining objective is: the task, such as predicting the next word, that a model is trained to perform during its initial large-scale training phase",AI – Artificial Intelligence,Generative AI
"Which term matches this description: ""a type of neural network where connections between nodes do not form cycles, with data flowing in one direction""?",multi-agent systems,a feedforward neural network,an intelligent agent,Super AI,B,"The description matches a feedforward neural network: a type of neural network where connections between nodes do not form cycles, with data flowing in one direction",AI – Artificial Intelligence,AI Basics
Which statement correctly describes sentiment analysis?,an AI application that automatically identifies and filters unwanted or malicious emails,an NLP technique used to determine the emotional tone behind a piece of text,an AI application that converts spoken language into text,a mobile or web application that uses AI to translate text or speech in real time between languages,B,"By definition, sentiment analysis is: an NLP technique used to determine the emotional tone behind a piece of text",AI – Artificial Intelligence,AI Applications
"Which term matches this description: ""software that uses generative AI to automatically produce written, visual, or audio content""?",an AI model's citation behaviour,a diffusion model,an AI content generation tool,an AI model's instruction-following ability,C,"The description matches an AI content generation tool: software that uses generative AI to automatically produce written, visual, or audio content",AI – Artificial Intelligence,Generative AI
"Which term matches this description: ""studying methods to ensure AI systems behave reliably, safely, and in accordance with human intentions""?",differential privacy,an AI safety researcher's focus,AI in autonomous weapons systems,an AI incident report,B,"The description matches an AI safety researcher's focus: studying methods to ensure AI systems behave reliably, safely, and in accordance with human intentions",AI – Artificial Intelligence,AI Ethics
What is an AI writing assistant?,a neural network architecture consisting of a generator and discriminator that compete to produce realistic synthetic data,"a parameter that controls the randomness of a generative model's output, with higher values producing more varied text","a unit of text, such as a word or part of a word, used by language models to process and generate language","a tool that uses AI to help users draft, edit, or improve written content",D,"an AI writing assistant is: a tool that uses AI to help users draft, edit, or improve written content",AI – Artificial Intelligence,Generative AI
