Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Which word is a synonym of 'rich'?,secure,wealthy,accurate,display,B,'wealthy' is similar in meaning to 'rich'.,English Subjects,Synonyms
What is a homonym?,a word that is spelled and/or pronounced the same as another word but has a different meaning,"a sentence that reports the exact words spoken by someone, usually in quotation marks",a sentence with one independent clause and at least one dependent clause,"a verb tense used for actions that were ongoing in the past, e.g. 'She was walking to school.'",A,a homonym is: a word that is spelled and/or pronounced the same as another word but has a different meaning,English Subjects,Vocabulary
Choose the word that is similar in meaning to 'ask':,inquire,silent,ordinary,vend,A,'inquire' is similar in meaning to 'ask'.,English Subjects,Synonyms
Choose the word that is similar in meaning to 'useful':,chuckle,beneficial,furious,gorgeous,B,'beneficial' is similar in meaning to 'useful'.,English Subjects,Synonyms
Choose the correct article to fill the blank: '___ zebra',no article,an,a,the,C,"'zebra' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
Which statement correctly describes an article?,"a verb that requires a direct object to complete its meaning, e.g. 'She reads a book.'","a word (a, an, the) used before a noun to specify definiteness","a word or phrase that expresses strong emotion, such as 'Wow!' or 'Ouch!'","a noun that names a specific person, place, or thing and begins with a capital letter",B,"By definition, an article is: a word (a, an, the) used before a noun to specify definiteness",English Subjects,Parts of Speech
Choose the word that is similar in meaning to 'brave':,feeble,create,cunning,courageous,D,'courageous' is similar in meaning to 'brave'.,English Subjects,Synonyms
Choose the word that is similar in meaning to 'important':,significant,dense,untrue,impoverished,A,'significant' is similar in meaning to 'important'.,English Subjects,Synonyms
"Which term matches this description: ""a word that connects words, phrases, or clauses, such as and, but, or because""?",a verb,an interjection,a conjunction,a collective noun,C,"The description matches a conjunction: a word that connects words, phrases, or clauses, such as and, but, or because",English Subjects,Parts of Speech
Which word is a antonym of 'fast'?,pessimist,complex,slow,pull,C,'slow' is opposite in meaning to 'fast'.,English Subjects,Antonyms
Which article correctly precedes the word 'bicycle'?,an,a,the,no article,B,"'bicycle' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
Which word is similar in meaning to 'correct'?,new,big,right,funny,C,'right' is similar in meaning to 'correct'.,English Subjects,Synonyms
"Complete the sentence correctly: ""We ___ to the beach tomorrow.""",had gone,go,went,are going,D,"The sentence requires the Present Continuous (future use) form: 'are going'. Full sentence: ""We are going to the beach tomorrow.""",English Subjects,Tenses
Which article correctly precedes the word 'zebra'?,the,no article,an,a,D,"'zebra' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
'right' is a antonym of which word?,left,include,day,light,A,'right' is opposite in meaning to 'left'.,English Subjects,Antonyms
Which word is similar in meaning to 'observe'?,look,start,hot,useful,A,'look' is similar in meaning to 'observe'.,English Subjects,Synonyms
Which article correctly precedes the word 'mango'?,an,the,a,no article,C,"'mango' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
Choose the word that is opposite in meaning to 'day':,fail,night,thin,pull,B,'night' is opposite in meaning to 'day'.,English Subjects,Antonyms
"Fill in the blank: ______ refers to ""the repetition of the same initial consonant sound in nearby words, e.g. 'she sells seashells'"".",a conjunction,a homophone,alliteration,a complex sentence,C,"alliteration refers to: the repetition of the same initial consonant sound in nearby words, e.g. 'she sells seashells'",English Subjects,Literary Devices
Which article correctly precedes the word 'queen'?,no article,the,a,an,C,"'queen' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
"Which term matches this description: ""a word that names a person, place, thing, or idea""?",a noun,an adverb,a transitive verb,an interjection,A,"The description matches a noun: a word that names a person, place, thing, or idea",English Subjects,Parts of Speech
'late' is a antonym of which word?,laugh,safe,early,brave,C,'late' is opposite in meaning to 'early'.,English Subjects,Antonyms
Which word is a antonym of 'guilty'?,innocent,criticise,rough,minor,A,'innocent' is opposite in meaning to 'guilty'.,English Subjects,Antonyms
Choose the word that is similar in meaning to 'new':,enjoy,vend,modern,slim,C,'modern' is similar in meaning to 'new'.,English Subjects,Synonyms
Which word is opposite in meaning to 'pessimist'?,permit,optimist,attack,wet,B,'optimist' is opposite in meaning to 'pessimist'.,English Subjects,Antonyms
Choose the correct article to fill the blank: '___ SUV',an,a,the,no article,A,"'SUV' starts with a vowel sound, so the correct article is 'an'.",English Subjects,Articles
Which word is a antonym of 'generous'?,stingy,private,closed,depart,A,'stingy' is opposite in meaning to 'generous'.,English Subjects,Antonyms
Which word is a antonym of 'humble'?,lower,arrogant,false,end,B,'arrogant' is opposite in meaning to 'humble'.,English Subjects,Antonyms
Choose the word that is opposite in meaning to 'import':,innocent,late,export,sad,C,'export' is opposite in meaning to 'import'.,English Subjects,Antonyms
"Complete the sentence correctly: ""She ___ the letter before he arrived.""",had written,writes,is writing,wrote,A,"The sentence requires the Past Perfect form: 'had written'. Full sentence: ""She had written the letter before he arrived.""",English Subjects,Tenses
What is a phrase?,the part of a sentence that contains the verb and gives information about the subject,a group of related words that does not contain a subject and verb pair,a sentence with only one independent clause,"the person, place, or thing that performs the action of the verb",B,a phrase is: a group of related words that does not contain a subject and verb pair,English Subjects,Sentence Structure
Which word is similar in meaning to 'truthful'?,honest,false,funny,clever,A,'honest' is similar in meaning to 'truthful'.,English Subjects,Synonyms
Choose the word that is similar in meaning to 'lose':,distant,sluggish,shatter,misplace,D,'misplace' is similar in meaning to 'lose'.,English Subjects,Synonyms
What is a conjunction?,"a word that expresses an action, occurrence, or state of being","a word that connects words, phrases, or clauses, such as and, but, or because","an auxiliary verb that expresses necessity, possibility, or ability, such as can, could, must, or should","a noun that names a general person, place, or thing",B,"a conjunction is: a word that connects words, phrases, or clauses, such as and, but, or because",English Subjects,Parts of Speech
Which word is similar in meaning to 'enjoy'?,beautiful,like,angry,polite,B,'like' is similar in meaning to 'enjoy'.,English Subjects,Synonyms
Which word is a antonym of 'polite'?,criticise,sell,rude,weak,C,'rude' is opposite in meaning to 'polite'.,English Subjects,Antonyms
'ordinary' is a synonym of which word?,ask,heavy,common,like,C,'ordinary' is similar in meaning to 'common'.,English Subjects,Synonyms
Which word is a antonym of 'win'?,old,false,lose,forbid,C,'lose' is opposite in meaning to 'win'.,English Subjects,Antonyms
Which word is opposite in meaning to 'destroy'?,succeed,accept,permit,create,D,'create' is opposite in meaning to 'destroy'.,English Subjects,Antonyms
Choose the correct article to fill the blank: '___ owl',no article,the,an,a,C,"'owl' starts with a vowel sound, so the correct article is 'an'.",English Subjects,Articles
What is a complex sentence?,the part of a sentence that contains the verb and gives information about the subject,"the person, place, or thing that performs the action of the verb",a sentence with one independent clause and at least one dependent clause,a group of related words that does not contain a subject and verb pair,C,a complex sentence is: a sentence with one independent clause and at least one dependent clause,English Subjects,Sentence Structure
'spotless' is a synonym of which word?,common,narrow,loud,clean,D,'spotless' is similar in meaning to 'clean'.,English Subjects,Synonyms
Choose the word that is opposite in meaning to 'guilty':,narrow,innocent,lower,rough,B,'innocent' is opposite in meaning to 'guilty'.,English Subjects,Antonyms
"Which term matches this description: ""a phrase whose meaning cannot be understood from the individual words, e.g. 'break the ice'""?",a subject in a sentence,the present continuous tense,the simple past tense,an idiom,D,"The description matches an idiom: a phrase whose meaning cannot be understood from the individual words, e.g. 'break the ice'",English Subjects,Vocabulary
'lose' is a antonym of which word?,win,heavy,remember,expand,A,'lose' is opposite in meaning to 'win'.,English Subjects,Antonyms
Choose the word that is similar in meaning to 'cold':,frigid,scorching,grab,courteous,A,'frigid' is similar in meaning to 'cold'.,English Subjects,Synonyms
Choose the word that is opposite in meaning to 'happy':,sad,arrogant,weak,criticise,A,'sad' is opposite in meaning to 'happy'.,English Subjects,Antonyms
Which article correctly precedes the word 'egg'?,no article,a,an,the,C,"'egg' starts with a vowel sound, so the correct article is 'an'.",English Subjects,Articles
Which article correctly precedes the word 'factory'?,an,the,no article,a,D,"'factory' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
Which word is opposite in meaning to 'minor'?,happy,strong,major,create,C,'major' is opposite in meaning to 'minor'.,English Subjects,Antonyms
Which word is a synonym of 'smart'?,intelligent,massive,gentle,furious,A,'intelligent' is similar in meaning to 'smart'.,English Subjects,Synonyms
'detest' is a synonym of which word?,hate,talk,easy,perfect,A,'detest' is similar in meaning to 'hate'.,English Subjects,Synonyms
"Which term matches this description: ""a verb that does not require a direct object, e.g. 'She sleeps.'""?",a preposition,an adjective,a pronoun,an intransitive verb,D,"The description matches an intransitive verb: a verb that does not require a direct object, e.g. 'She sleeps.'",English Subjects,Parts of Speech
Which word is a antonym of 'expand'?,arrogant,quiet,contract,night,C,'contract' is opposite in meaning to 'expand'.,English Subjects,Antonyms
Choose the word that is opposite in meaning to 'ancient':,reject,modern,dangerous,exclude,B,'modern' is opposite in meaning to 'ancient'.,English Subjects,Antonyms
'slim' is a synonym of which word?,narrow,dishonest,dangerous,jump,A,'slim' is similar in meaning to 'narrow'.,English Subjects,Synonyms
'closed' is a antonym of which word?,up,open,early,wide,B,'closed' is opposite in meaning to 'open'.,English Subjects,Antonyms
Which word is opposite in meaning to 'closed'?,light,up,open,thick,C,'open' is opposite in meaning to 'closed'.,English Subjects,Antonyms
Which word is a synonym of 'cheap'?,inexpensive,dense,peaceful,tiny,A,'inexpensive' is similar in meaning to 'cheap'.,English Subjects,Synonyms
Which word is a synonym of 'high'?,silent,elevated,dash,impolite,B,'elevated' is similar in meaning to 'high'.,English Subjects,Synonyms
Choose the word that is similar in meaning to 'dirty':,filthy,reckless,shatter,vacant,A,'filthy' is similar in meaning to 'dirty'.,English Subjects,Synonyms
What is the simple past tense?,"a verb tense used to describe habitual actions or general facts, e.g. 'She walks to school.'","a verb tense used to describe completed actions in the past, e.g. 'She walked to school.'","a verb tense used for actions completed at an unspecified time before now, e.g. 'She has walked to school.'","a verb tense used for actions that were ongoing in the past, e.g. 'She was walking to school.'",B,"the simple past tense is: a verb tense used to describe completed actions in the past, e.g. 'She walked to school.'",English Subjects,Tenses
Which word is similar in meaning to 'secure'?,dirty,ancient,safe,hot,C,'safe' is similar in meaning to 'secure'.,English Subjects,Synonyms
'converse' is a synonym of which word?,talk,old,funny,new,A,'converse' is similar in meaning to 'talk'.,English Subjects,Synonyms
Choose the word that is opposite in meaning to 'create':,pull,minor,end,destroy,D,'destroy' is opposite in meaning to 'create'.,English Subjects,Antonyms
Which article correctly precedes the word 'book'?,an,the,no article,a,D,"'book' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
"Fill in the blank: ______ refers to ""a figure of speech that describes something by stating it is something else, e.g. 'Time is money'"".",a metaphor,a modal verb,a subject in a sentence,the simple present tense,A,"a metaphor refers to: a figure of speech that describes something by stating it is something else, e.g. 'Time is money'",English Subjects,Literary Devices
Choose the word that is similar in meaning to 'fast':,feeble,quick,timid,display,B,'quick' is similar in meaning to 'fast'.,English Subjects,Synonyms
Choose the word that is opposite in meaning to 'young':,old,dark,contract,criticise,A,'old' is opposite in meaning to 'young'.,English Subjects,Antonyms
"Which term matches this description: ""a sentence that reports what someone said without using their exact words""?",a common noun,a transitive verb,an indirect (reported) speech sentence,a proper noun,C,The description matches an indirect (reported) speech sentence: a sentence that reports what someone said without using their exact words,English Subjects,Speech
Which word is similar in meaning to 'inexpensive'?,love,careful,clean,cheap,D,'cheap' is similar in meaning to 'inexpensive'.,English Subjects,Synonyms
Which statement correctly describes a passive voice sentence?,"a verb tense used for actions that were ongoing in the past, e.g. 'She was walking to school.'","a sentence in which the subject receives the action, e.g. 'The mouse was chased by the cat.'",a word that has the same or nearly the same meaning as another word,"the person, place, or thing that performs the action of the verb",B,"By definition, a passive voice sentence is: a sentence in which the subject receives the action, e.g. 'The mouse was chased by the cat.'",English Subjects,Voice
Which article correctly precedes the word 'window'?,a,an,no article,the,A,"'window' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
'feeble' is a synonym of which word?,heavy,dirty,weak,thin,C,'feeble' is similar in meaning to 'weak'.,English Subjects,Synonyms
'untrue' is a synonym of which word?,make,slow,false,kind,C,'untrue' is similar in meaning to 'false'.,English Subjects,Synonyms
Which word is opposite in meaning to 'fake'?,polite,optimist,left,genuine,D,'genuine' is opposite in meaning to 'fake'.,English Subjects,Antonyms
'modern' is a antonym of which word?,interior,ancient,humble,up,B,'modern' is opposite in meaning to 'ancient'.,English Subjects,Antonyms
Which word is a synonym of 'easy'?,simple,foolish,joyful,truthful,A,'simple' is similar in meaning to 'easy'.,English Subjects,Synonyms
"Fill in the blank: ______ refers to ""the person, place, or thing that performs the action of the verb"".",a subject in a sentence,a compound sentence,a phrase,a clause,A,"a subject in a sentence refers to: the person, place, or thing that performs the action of the verb",English Subjects,Sentence Structure
Choose the correct article to fill the blank: '___ igloo',the,an,no article,a,B,"'igloo' starts with a vowel sound, so the correct article is 'an'.",English Subjects,Articles
Which word is similar in meaning to 'contemporary'?,modern,false,lose,talk,A,'modern' is similar in meaning to 'contemporary'.,English Subjects,Synonyms
Which word is a antonym of 'wise'?,narrow,foolish,thin,forget,B,'foolish' is opposite in meaning to 'wise'.,English Subjects,Antonyms
Which article correctly precedes the word 'European city'?,an,the,no article,a,D,"'European city' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
Which word is a antonym of 'early'?,decrease,late,defend,complex,B,'late' is opposite in meaning to 'early'.,English Subjects,Antonyms
Which statement correctly describes a countable noun?,"a noun that names a general person, place, or thing","a noun that refers to a group of people or things, such as 'team' or 'flock'","a word that shows the relationship between a noun/pronoun and other words in a sentence, such as in, on, or under",a noun that can be counted and has both singular and plural forms,D,"By definition, a countable noun is: a noun that can be counted and has both singular and plural forms",English Subjects,Parts of Speech
Choose the word that is opposite in meaning to 'full':,empty,disagree,complex,hate,A,'empty' is opposite in meaning to 'full'.,English Subjects,Antonyms
Which word is opposite in meaning to 'rude'?,create,polite,young,full,B,'polite' is opposite in meaning to 'rude'.,English Subjects,Antonyms
Choose the word that is opposite in meaning to 'smooth':,late,dirty,innocent,rough,D,'rough' is opposite in meaning to 'smooth'.,English Subjects,Antonyms
"Complete the sentence correctly: ""The sun ___ in the east.""",is rising,will rise,rises,rose,C,"The sentence requires the Simple Present form: 'rises'. Full sentence: ""The sun rises in the east.""",English Subjects,Tenses
Which word is opposite in meaning to 'reject'?,young,accept,humble,hot,B,'accept' is opposite in meaning to 'reject'.,English Subjects,Antonyms
Which article correctly precedes the word 'tree'?,an,the,a,no article,C,"'tree' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
Choose the word that is opposite in meaning to 'laugh':,fail,dangerous,modern,cry,D,'cry' is opposite in meaning to 'laugh'.,English Subjects,Antonyms
Which word is similar in meaning to 'spotless'?,fast,thin,start,clean,D,'clean' is similar in meaning to 'spotless'.,English Subjects,Synonyms
Which word is a synonym of 'hurt'?,ancient,joyful,injure,peaceful,C,'injure' is similar in meaning to 'hurt'.,English Subjects,Synonyms
