Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Which symbol correctly compares 74 and 92? (74 ___ 92),>,=,<,≥,C,74 < 92.,Math / Mathematics,Comparison
What is 4088 - 2608?,1460,1479,1480,1481,C,4088 - 2608 = 1480.,Math / Mathematics,Subtraction
What is 650 ÷ 5?,129,126,132,130,D,"650 ÷ 5 = 130, since 5 × 130 = 650.",Math / Mathematics,Division
What is 64 × 31?,1920,1986,1984,1994,C,64 × 31 = 1984.,Math / Mathematics,Multiplication
What is 7320 ÷ 40?,185,186,183,187,C,"7320 ÷ 40 = 183, since 40 × 183 = 7320.",Math / Mathematics,Division
What is 63 × 18?,1134,1152,1124,1144,A,63 × 18 = 1134.,Math / Mathematics,Multiplication
What is 3857 - 1872?,1985,1975,1987,1965,A,3857 - 1872 = 1985.,Math / Mathematics,Subtraction
What is 4393 + 1381?,5779,5772,5774,5773,C,4393 + 1381 = 5774.,Math / Mathematics,Addition
What is 984 ÷ 41?,21,26,24,28,C,"984 ÷ 41 = 24, since 41 × 24 = 984.",Math / Mathematics,Division
What is 77 × 85?,6543,6545,6630,6535,B,77 × 85 = 6545.,Math / Mathematics,Multiplication
What is 2703 + 4160?,6883,6862,6863,6858,C,2703 + 4160 = 6863.,Math / Mathematics,Addition
Solve for x: 11x + (-2) = 20,4,3,-2,2,D,"11x = 20 - (-2) = 22, so x = 22/11 = 2.",Math / Mathematics,Equations
What is 5% of 1620?,61,101,81,76,C,5% of 1620 = (5/100) × 1620 = 81.,Math / Mathematics,Percentage
What is 5/8 + 1/7 (in simplest form)?,44/58,43/56,44/56,42/57,B,5/8 + 1/7 = 43/56 = 43/56 in simplest form.,Math / Mathematics,Fractions
What is 27 × 24?,621,646,648,638,C,27 × 24 = 648.,Math / Mathematics,Multiplication
What is 2268 ÷ 36?,63,67,66,62,A,"2268 ÷ 36 = 63, since 36 × 63 = 2268.",Math / Mathematics,Division
Which symbol correctly compares -173 and -417? (-173 ___ -417),>,=,≥,<,A,-173 > -417.,Math / Mathematics,Comparison
What is 7/11 + 3/10 (in simplest form)?,103/110,104/110,104/111,105/109,A,7/11 + 3/10 = 103/110 = 103/110 in simplest form.,Math / Mathematics,Fractions
What is 4 × 44?,166,186,176,132,C,4 × 44 = 176.,Math / Mathematics,Multiplication
What is 40 × 36?,1440,1438,1450,1404,A,40 × 36 = 1440.,Math / Mathematics,Multiplication
Which symbol correctly compares 134 and -34? (134 ___ -34),>,<,≥,=,A,134 > -34.,Math / Mathematics,Comparison
