Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
"Which term matches this description: ""a device or program, such as a web browser, that requests resources or services from a server""?",a reverse proxy,a client (in web development),a session (in web development),Ruby on Rails,B,"The description matches a client (in web development): a device or program, such as a web browser, that requests resources or services from a server",Web Development,Backend
Which statement correctly describes API rate limiting?,an architectural style for designing networked applications using standard HTTP methods to access resources,interfaces provided by a backend server that allow client applications to request and send data,"an HTTP method used to send data to a server, often to create a new resource",a technique used to control the number of requests a client can make to an API within a given time period,D,"By definition, API rate limiting is: a technique used to control the number of requests a client can make to an API within a given time period",Web Development,Backend
What is the purpose of the HTML tag <tr>?,defining introductory content or navigation links for a page or section,defining a standard data cell within an HTML table,"indicating emphasised text, typically displayed in italics",defining a row within an HTML table,D,The <tr> tag is used for defining a row within an HTML table.,Web Development,HTML Tags
Which HTML tag is used for inserting a horizontal rule (thematic break)?,<hr>,<article>,<th>,<h1> to <h6>,A,<hr> is used for inserting a horizontal rule (thematic break).,Web Development,HTML Tags
"Which term matches this description: ""typically small, such as 16x16 or 32x32 pixels, designed to display clearly at small sizes""?",an anchor tag (<a>),a favicon's dimensions,a meta description tag,an HTML element,B,"The description matches a favicon's dimensions: typically small, such as 16x16 or 32x32 pixels, designed to display clearly at small sizes",Web Development,HTML
"Which HTML tag is used for linking an external resource, such as a CSS stylesheet, to a document?",<link>,<aside>,<ul>,<img>,A,"<link> is used for linking an external resource, such as a CSS stylesheet, to a document.",Web Development,HTML Tags
What is a DELETE request?,"a security vulnerability where malicious SQL code is inserted into a query, potentially compromising a database","a message sent by a server back to a client, containing the requested data or status information",an HTTP method used to remove a specified resource from a server,a tool that combines templates with data to generate dynamic HTML output on the server side,C,a DELETE request is: an HTTP method used to remove a specified resource from a server,Web Development,Backend
"Which term matches this description: ""an architectural style for designing networked applications using standard HTTP methods to access resources""?",a RESTful API,API rate limiting,API versioning,Ruby on Rails,A,The description matches a RESTful API: an architectural style for designing networked applications using standard HTTP methods to access resources,Web Development,Backend
What is DNS (Domain Name System)?,a method of comparing two versions of a web page to determine which performs better with users,a developer skilled in both frontend and backend web development,a system that translates human-readable domain names into IP addresses used by computers,the practice of storing website files like images and scripts on a user's device to speed up future visits,C,DNS (Domain Name System) is: a system that translates human-readable domain names into IP addresses used by computers,Web Development,General Web Development
What is the purpose of the CSS property 'box-shadow'?,specifying what happens when content overflows an element's box,setting the height of a line of text,"adding decorative lines to text, such as underline or strikethrough",adding a shadow effect around an element,D,The 'box-shadow' CSS property is used for adding a shadow effect around an element.,Web Development,CSS Properties
"Which term matches this description: ""the visible area of a web page within a user's browser window, which varies by device""?",a CSS combinator,web typography,the viewport (in web design),mobile-first design,C,"The description matches the viewport (in web design): the visible area of a web page within a user's browser window, which varies by device",Web Development,CSS
Which statement correctly describes a media query (in CSS)?,"a CSS feature that applies styles conditionally based on device characteristics, such as screen width",the process by which browsers determine which CSS rule applies when multiple rules could apply to the same element,a navigation bar that remains fixed at the top of the screen as a user scrolls down a page,reusable values defined in CSS that can be referenced throughout a stylesheet using the var() function,A,"By definition, a media query (in CSS) is: a CSS feature that applies styles conditionally based on device characteristics, such as screen width",Web Development,CSS
What is a wireframe (in web design)?,"to visually represent a website in browser tabs, bookmarks, and history",a security process requiring two different forms of identification before granting access to an account,the practice of automatically releasing code changes to a live website after passing automated tests,"a basic visual guide representing the skeletal framework of a website's layout, before visual design is applied",D,"a wireframe (in web design) is: a basic visual guide representing the skeletal framework of a website's layout, before visual design is applied",Web Development,General Web Development
"Fill in the blank: ______ refers to ""the technique of managing navigation between different views or pages without a full page reload"".",a key prop (in React lists),Redux,client-side rendering (CSR),routing (in single-page applications),D,routing (in single-page applications) refers to: the technique of managing navigation between different views or pages without a full page reload,Web Development,Frontend
What is a session (in web development)?,"a header sent by a client that identifies the browser, operating system, or device making the request",a browser security feature that controls how resources can be requested from a different domain than the one serving the page,"a high-level Python web framework that encourages rapid development and clean, pragmatic design",a way of storing information about a user's interaction with a website across multiple requests,D,a session (in web development) is: a way of storing information about a user's interaction with a website across multiple requests,Web Development,Backend
What is Django?,"a message sent by a client to a server, requesting a specific action or resource",a technique used to control the number of requests a client can make to an API within a given time period,an HTTP status code indicating an internal server error occurred while processing the request,"a high-level Python web framework that encourages rapid development and clean, pragmatic design",D,"Django is: a high-level Python web framework that encourages rapid development and clean, pragmatic design",Web Development,Backend
"Fill in the blank: ______ refers to ""a service that allows individuals or organisations to make their website accessible on the internet"".",cross-browser compatibility,a wireframe (in web design),website hosting,two-factor authentication (2FA),C,website hosting refers to: a service that allows individuals or organisations to make their website accessible on the internet,Web Development,General Web Development
What is a primary key (in web databases)?,the process of copying data from one database server to another to improve availability and reliability,"a sequence of database operations treated as a single unit, ensuring all operations succeed or none do","a unique identifier for each record in a database table, ensuring no duplicate entries","structured, version-controlled changes made to a database schema over time as an application evolves",C,"a primary key (in web databases) is: a unique identifier for each record in a database table, ensuring no duplicate entries",Web Development,Databases
"Which term matches this description: ""a computer or program that provides resources, data, or services to client devices over a network""?",backend development,a server (in web development),Node.js's Express framework,PHP (in web development),B,"The description matches a server (in web development): a computer or program that provides resources, data, or services to client devices over a network",Web Development,Backend
"Which term matches this description: ""an operator used to determine the data type of a variable or expression""?",template literals (in JavaScript),an arrow function (in JavaScript),AJAX (Asynchronous JavaScript and XML),JavaScript's typeof operator,D,The description matches JavaScript's typeof operator: an operator used to determine the data type of a variable or expression,Web Development,JavaScript
"Fill in the blank: ______ refers to ""a file used to store configuration variables, such as API keys, outside of a project's source code"".",a URL (Uniform Resource Locator),an environment file (.env),a breadcrumb (in web navigation),a favicon,B,"an environment file (.env) refers to: a file used to store configuration variables, such as API keys, outside of a project's source code",Web Development,General Web Development
"Fill in the blank: ______ refers to ""a small piece of data stored by a browser, used to remember information about a user across sessions"".",a cookie (in web development),HTTP headers,a webhook (in web development),Django,A,"a cookie (in web development) refers to: a small piece of data stored by a browser, used to remember information about a user across sessions",Web Development,Backend
Which statement correctly describes a favicon file's typical location?,an instruction at the top of an HTML document that specifies the version of HTML being used,"an HTML component used to collect user input, such as text fields, checkboxes, or buttons",an HTML element that contains the visible content of a web page,commonly placed in the root directory of a website and linked in the HTML <head> section,D,"By definition, a favicon file's typical location is: commonly placed in the root directory of a website and linked in the HTML <head> section",Web Development,HTML
"Fill in the blank: ______ refers to ""the practice of automatically releasing code changes to a live website after passing automated tests"".",a dynamic website,browser developer tools,continuous deployment (in web projects),a Content Management System (CMS),C,continuous deployment (in web projects) refers to: the practice of automatically releasing code changes to a live website after passing automated tests,Web Development,General Web Development
"Fill in the blank: ______ refers to ""an HTTP method used to request data from a specified resource, without modifying it"".",a GET request,a PUT request,middleware (in web development),HTTP headers,A,"a GET request refers to: an HTTP method used to request data from a specified resource, without modifying it",Web Development,Backend
What is cross-browser compatibility?,"a technique that delays loading of non-critical resources, such as images, until they are needed",the practice of ensuring a website functions correctly across different web browsers,a secondary navigation aid that shows a user's location within a website's hierarchy,"a distributed network of servers that delivers web content to users based on their geographic location, improving speed",B,cross-browser compatibility is: the practice of ensuring a website functions correctly across different web browsers,Web Development,General Web Development
Which HTTP status code corresponds to: 'Moved Permanently'?,201,502,204,301,D,HTTP 301: Moved Permanently — the requested resource has been permanently moved to a new URL.,Web Development,HTTP Status Codes
"Which term matches this description: ""the practice of designing websites so they can be used effectively by people with disabilities""?",caching (in web development),website hosting,web accessibility,a URL (Uniform Resource Locator),C,The description matches web accessibility: the practice of designing websites so they can be used effectively by people with disabilities,Web Development,General Web Development
What is a GET request?,"a computer or program that provides resources, data, or services to client devices over a network",a security tool that monitors and filters HTTP traffic between a web application and the internet,"an HTTP method used to request data from a specified resource, without modifying it",an HTTP status code indicating that a request has succeeded,C,"a GET request is: an HTTP method used to request data from a specified resource, without modifying it",Web Development,Backend
"Which term matches this description: ""a software design approach where a user interface is built from small, independent, reusable pieces""?",the useEffect hook (in React),a component (in frontend frameworks),a single-page application (SPA),component-based architecture,D,"The description matches component-based architecture: a software design approach where a user interface is built from small, independent, reusable pieces",Web Development,Frontend
"Fill in the blank: ______ refers to ""a specific screen width at which a website's layout changes to adapt to different devices"".",a CSS selector,CSS transform,CSS inheritance,a breakpoint (in responsive design),D,a breakpoint (in responsive design) refers to: a specific screen width at which a website's layout changes to adapt to different devices,Web Development,CSS
"Fill in the blank: ______ refers to ""a function that waits for a specific event, such as a click, and executes code in response"".",a JavaScript event listener,a Promise (in JavaScript),JSON (JavaScript Object Notation),a JavaScript module,A,"a JavaScript event listener refers to: a function that waits for a specific event, such as a click, and executes code in response",Web Development,JavaScript
What is the purpose of the HTML tag <form>?,creating a form for collecting user input,"indicating text with strong importance, typically displayed in bold",defining a label for a form input element,creating a hyperlink to another page or resource,A,The <form> tag is used for creating a form for collecting user input.,Web Development,HTML Tags
Which statement correctly describes a favicon's role in bookmarking?,a popular open-source content management system used to build and manage websites,"the address used to locate a specific resource, such as a web page, on the internet",techniques used to improve the loading speed and responsiveness of a website,helping users visually identify a bookmarked site in their browser's bookmark list,D,"By definition, a favicon's role in bookmarking is: helping users visually identify a bookmarked site in their browser's bookmark list",Web Development,General Web Development
Which CSS property is used for setting the background colour of an element?,background-color,font-size,font-family,height,A,'background-color' is used for setting the background colour of an element.,Web Development,CSS Properties
"Fill in the blank: ______ refers to ""a keyword enclosed in angle brackets used to define the structure and elements of a web page"".",an HTML attribute,a meta description tag,an HTML tag,the <head> tag,C,an HTML tag refers to: a keyword enclosed in angle brackets used to define the structure and elements of a web page,Web Development,HTML
"Which term matches this description: ""a technique where a web page's content is generated on the server before being sent to the client's browser""?",OAuth,a cookie (in web development),Apache HTTP Server,server-side rendering (SSR),D,The description matches server-side rendering (SSR): a technique where a web page's content is generated on the server before being sent to the client's browser,Web Development,Backend
What is the JavaScript console?,"a browser tool used by developers to view logged messages, errors, and test code interactively","a superset of JavaScript that adds static typing, developed and maintained by Microsoft","a technique used to update parts of a web page without reloading the entire page, by exchanging data with a server","a concise syntax for writing functions in JavaScript, introduced in ES6",A,"the JavaScript console is: a browser tool used by developers to view logged messages, errors, and test code interactively",Web Development,JavaScript
What is SQL injection?,"a communication protocol that provides full-duplex communication channels over a single, long-lived connection","a message sent by a client to a server, requesting a specific action or resource","a security vulnerability where malicious SQL code is inserted into a query, potentially compromising a database",the practice of managing changes to an API over time by maintaining multiple versions for compatibility,C,"SQL injection is: a security vulnerability where malicious SQL code is inserted into a query, potentially compromising a database",Web Development,Backend
What is HTTP headers?,"a high-level Python web framework that encourages rapid development and clean, pragmatic design","key-value pairs sent as part of an HTTP request or response, carrying metadata such as content type or caching rules","the practice of building the server-side logic, databases, and application architecture behind a website",a major revision of the HTTP protocol that improves performance through features like multiplexing and header compression,B,"HTTP headers is: key-value pairs sent as part of an HTTP request or response, carrying metadata such as content type or caching rules",Web Development,Backend
"Which term matches this description: ""structured, version-controlled changes made to a database schema over time as an application evolves""?",connection pooling (in databases),database sharding,a NoSQL database (in web context),database migrations,D,"The description matches database migrations: structured, version-controlled changes made to a database schema over time as an application evolves",Web Development,Databases
"Which term matches this description: ""an open standard authorization protocol that allows applications to access user data from other services without sharing passwords""?",CORS (Cross-Origin Resource Sharing),OAuth,GraphQL,Flask,B,The description matches OAuth: an open standard authorization protocol that allows applications to access user data from other services without sharing passwords,Web Development,Backend
What is the purpose of the CSS property 'margin'?,specifying the typeface used for text within an element,setting the text colour of an element,setting the space outside an element's border,specifying the type of cursor displayed when hovering over an element,C,The 'margin' CSS property is used for setting the space outside an element's border.,Web Development,CSS Properties
Which statement correctly describes HTTP/2?,an HTTP method used to remove a specified resource from a server,"a message sent by a server back to a client, containing the requested data or status information",a major revision of the HTTP protocol that improves performance through features like multiplexing and header compression,"software that handles HTTP requests and serves web content to clients, such as Apache or Nginx",C,"By definition, HTTP/2 is: a major revision of the HTTP protocol that improves performance through features like multiplexing and header compression",Web Development,Backend
Which statement correctly describes web accessibility?,"a basic visual guide representing the skeletal framework of a website's layout, before visual design is applied",the practice of designing websites so they can be used effectively by people with disabilities,"a human-readable address used to identify a website on the internet, such as 'example.com'","a set of built-in tools in web browsers used to inspect, debug, and test web page code",B,"By definition, web accessibility is: the practice of designing websites so they can be used effectively by people with disabilities",Web Development,General Web Development
What is a JavaScript module?,"a concise syntax for writing functions in JavaScript, introduced in ES6",a reusable piece of code that can be exported from one file and imported into another,"a syntax that allows an iterable to be expanded into individual elements, denoted by three dots (...)",an object representing the eventual completion or failure of an asynchronous operation,B,a JavaScript module is: a reusable piece of code that can be exported from one file and imported into another,Web Development,JavaScript
"Which term matches this description: ""a property that defines how the width and height of an element are calculated, including or excluding padding and border""?",web font loading,responsive web design,the box-sizing CSS property,a CSS selector,C,"The description matches the box-sizing CSS property: a property that defines how the width and height of an element are calculated, including or excluding padding and border",Web Development,CSS
Which statement correctly describes an HTML element?,an HTML element used to embed images into a web page,a keyword enclosed in angle brackets used to define the structure and elements of a web page,a set of attributes used to make web content more accessible to people using assistive technologies,"a component of a web page defined by an opening tag, content, and a closing tag",D,"By definition, an HTML element is: a component of a web page defined by an opening tag, content, and a closing tag",Web Development,HTML
Which CSS property is used for adding a shadow effect around an element?,align-items,box-shadow,font-weight,font-size,B,'box-shadow' is used for adding a shadow effect around an element.,Web Development,CSS Properties
What is a dynamic website?,"software that allows users to create, manage, and modify website content without specialised technical knowledge","commonly a .ico file, though modern browsers also support .png and .svg formats","a website that generates content in real time, often based on user interaction or database queries",the practice of storing website files like images and scripts on a user's device to speed up future visits,C,"a dynamic website is: a website that generates content in real time, often based on user interaction or database queries",Web Development,General Web Development
