Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
What is the English meaning of the Kannada word 'ಹಿಮ'?,one,welcome,snow/frost,science,C,'ಹಿಮ' means 'snow/frost' in English.,Kannada Subjects,Weather
Which statement correctly describes Kannada?,a Dravidian language predominantly spoken in the Indian state of Karnataka,"Kannada, Tamil, and Telugu are all Dravidian languages, though each has distinct scripts, grammar, and vocabulary","meaning 'speech' or 'language', often used poetically to refer to the Kannada language itself","the state of Karnataka in southern India, along with parts of neighbouring states",A,"By definition, Kannada is: a Dravidian language predominantly spoken in the Indian state of Karnataka",Kannada Subjects,Kannada Language
What is the English meaning of the Kannada word 'ಸ್ನೇಹಿತ'?,friend,morning,younger sister,fire,A,'ಸ್ನೇಹಿತ' means 'friend' in English.,Kannada Subjects,Vocabulary
"Which term matches this description: ""a saint-composer regarded as the 'father of Carnatic music', who composed devotional songs in Kannada""?",Karnataka's state emblem,Karnataka's state bird,Purandara Dasa,Karnataka's state tree,C,"The description matches Purandara Dasa: a saint-composer regarded as the 'father of Carnatic music', who composed devotional songs in Kannada",Kannada Subjects,Kannada Culture
"Which term matches this description: ""a respected Kannada writer and philosopher, best known for his work 'Mankutimmana Kagga'""?",Ha Ma Nayak,D V Gundappa (DVG),V K Gokak,Da Ra Bendre,B,"The description matches D V Gundappa (DVG): a respected Kannada writer and philosopher, best known for his work 'Mankutimmana Kagga'",Kannada Subjects,Kannada Literature
What is the English meaning of the Kannada word 'ಟೊಮ್ಯಾಟೊ'?,mirror,river,tomato,soil/earth,C,'ಟೊಮ್ಯಾಟೊ' means 'tomato' in English.,Kannada Subjects,Vocabulary
Which Kannada word means 'to come'?,ಈರುಳ್ಳಿ,ಸೆಪ್ಟೆಂಬರ್,ಕುರ್ಚಿ,ಬರುವುದು,D,'ಬರುವುದು' means 'to come' in English.,Kannada Subjects,Verbs
What is vyanjana (in Kannada grammar)?,"meaning 'your' (formal/plural), used as a possessive pronoun in Kannada","suffixes added to Kannada nouns to indicate their grammatical role in a sentence, such as subject, object, or possession",consonant sounds in the Kannada alphabet,Kannada generally follows a Subject-Object-Verb (SOV) word order,C,vyanjana (in Kannada grammar) is: consonant sounds in the Kannada alphabet,Kannada Subjects,Kannada Grammar
Which Kannada word means 'thirteen'?,ಒಳ್ಳೆಯ,ಭಾನುವಾರ,ಐದು,ಹದಿಮೂರು,D,'ಹದಿಮೂರು' means 'thirteen' in English.,Kannada Subjects,Numbers
Which statement correctly describes the geographic region where Kannada is predominantly spoken?,"Kannada is written from left to right, like most modern Indian scripts","the term for Old Kannada, the earlier form of the Kannada language used in ancient inscriptions and texts","the term for Middle Kannada, an intermediate stage in the historical development of the Kannada language","the state of Karnataka in southern India, along with parts of neighbouring states",D,"By definition, the geographic region where Kannada is predominantly spoken is: the state of Karnataka in southern India, along with parts of neighbouring states",Kannada Subjects,Kannada Language
