Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Which statement correctly describes one-hot encoding?,"a layer in a convolutional neural network that reduces the spatial size of data, decreasing computation and controlling overfitting",a technique used to convert categorical variables into a binary vector representation suitable for machine learning models,a machine learning technique that combines predictions from multiple models to improve overall performance,a technique used to address class imbalance by generating synthetic examples of the minority class,B,"By definition, one-hot encoding is: a technique used to convert categorical variables into a binary vector representation suitable for machine learning models",ML – Machine Learning,ML Basics
"A classifier has 93 true positives, 190 true negatives, 9 false positives, and 34 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.57,0.67,0.87,0.77,C,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (93+190)/(93+190+9+34) = 0.87.,ML – Machine Learning,Model Evaluation
"Fill in the blank: ______ refers to ""a subset of AI that enables systems to learn patterns from data and improve performance without being explicitly programmed"".",Machine Learning (ML),early stopping,XGBoost,reinforcement learning,A,Machine Learning (ML) refers to: a subset of AI that enables systems to learn patterns from data and improve performance without being explicitly programmed,ML – Machine Learning,ML Basics
Which statement correctly describes class imbalance?,a technique for assessing how well a model generalises by partitioning data into multiple training and testing subsets,a situation in classification problems where one class significantly outnumbers other classes in the training data,a machine learning technique that combines predictions from multiple models to improve overall performance,the number of training examples used in one iteration of model parameter updates,B,"By definition, class imbalance is: a situation in classification problems where one class significantly outnumbers other classes in the training data",ML – Machine Learning,ML Basics
"A classifier has 22 true positives, 142 true negatives, 41 false positives, and 84 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.57,0.87,0.47,0.67,A,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (22+142)/(22+142+41+84) = 0.57.,ML – Machine Learning,Model Evaluation
A classifier has 154 true positives and 96 false negatives. What is its recall (rounded to 2 decimal places)?,0.32,0.62,0.92,0.52,B,Recall = TP / (TP + FN) = 154 / (154 + 96) = 0.62.,ML – Machine Learning,Model Evaluation
"Fill in the blank: ______ refers to ""the balance between a model's error due to overly simplistic assumptions (bias) and its sensitivity to small fluctuations in data (variance)"".",a baseline model,underfitting,a label (in ML),bias-variance tradeoff,D,bias-variance tradeoff refers to: the balance between a model's error due to overly simplistic assumptions (bias) and its sensitivity to small fluctuations in data (variance),ML – Machine Learning,ML Basics
"A classifier has 11 true positives, 90 true negatives, 61 false positives, and 44 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.49,0.64,0.69,0.19,A,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (11+90)/(11+90+61+44) = 0.49.,ML – Machine Learning,Model Evaluation
What is gradient boosting?,"a modelling error where a model learns the training data too closely, including noise, and performs poorly on new data","a boosting technique that builds models sequentially, each minimising the errors of the combined previous models","the process of selecting, transforming, and creating input variables to improve a machine learning model's performance",the process of selecting the optimal configuration settings for a machine learning model to maximise performance,B,"gradient boosting is: a boosting technique that builds models sequentially, each minimising the errors of the combined previous models",ML – Machine Learning,ML Basics
"Which term matches this description: ""a machine learning task that categorises text based on the emotional tone it conveys, such as positive or negative""?",a recommender system,churn prediction,image classification,sentiment classification,D,"The description matches sentiment classification: a machine learning task that categorises text based on the emotional tone it conveys, such as positive or negative",ML – Machine Learning,ML Applications
"A classifier has 14 true positives, 187 true negatives, 66 false positives, and 34 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.97,0.57,0.82,0.67,D,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (14+187)/(14+187+66+34) = 0.67.,ML – Machine Learning,Model Evaluation
What is pruning (in decision trees)?,a commonly used kernel function in support vector machines that measures similarity based on distance,the process of removing sections of a decision tree to reduce complexity and prevent overfitting,a type of supervised learning task where the goal is to assign inputs into predefined categories or classes,a supervised learning algorithm that finds the optimal boundary (hyperplane) to separate data into classes,B,pruning (in decision trees) is: the process of removing sections of a decision tree to reduce complexity and prevent overfitting,ML – Machine Learning,Classification
"A classifier has precision 0.82 and recall 0.53 (from 101 TP, 22 FP, 89 FN). What is its F1 score (rounded to 2 decimal places)?",0.55,0.65,0.35,0.85,B,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.82×0.53)/(0.82+0.53) = 0.65.,ML – Machine Learning,Model Evaluation
"A classifier has precision 0.95 and recall 0.68 (from 178 TP, 9 FP, 84 FN). What is its F1 score (rounded to 2 decimal places)?",0.69,0.59,0.79,1.00,C,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.95×0.68)/(0.95+0.68) = 0.79.,ML – Machine Learning,Model Evaluation
