Game Question No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
1,Which symbol correctly compares 74 and 92? (74 ___ 92),>,=,<,≥,C,74 < 92.,Math / Mathematics,Comparison
2,What is the medieval feudal system in Japan?,a French heroine who led French forces during the Hundred Years' War and was later canonised as a saint,"a powerful empire that lasted from the 14th to early 20th century, spanning parts of Europe, Asia, and Africa",a hierarchical system involving daimyo lords and samurai warriors,a medieval European social and economic system based on land ownership and obligations between lords and vassals,C,the medieval feudal system in Japan is: a hierarchical system involving daimyo lords and samurai warriors,History,Medieval History
3,Which statement correctly describes a generator?,"the number of wave cycles that occur per unit of time, measured in hertz",the rate at which work is done or energy is transferred,a device that converts mechanical energy into electrical energy,"the flow of electric charge, usually carried by electrons through a conductor",C,"By definition, a generator is: a device that converts mechanical energy into electrical energy",Science,Physics
4,What is Sputnik 1?,"China's modular space station, assembled in low Earth orbit","an expendable launch system developed by ISRO, known for its reliability","a NASA space probe launched in 1977, which became the first human-made object to enter interstellar space","the first artificial satellite, launched by the Soviet Union in 1957",D,"Sputnik 1 is: the first artificial satellite, launched by the Soviet Union in 1957",Space,Space Missions
5,What is the English meaning of the Kannada word 'ಹಿಮ'?,one,welcome,snow/frost,science,C,'ಹಿಮ' means 'snow/frost' in English.,Kannada Subjects,Weather
6,Which word is a synonym of 'rich'?,secure,wealthy,accurate,display,B,'wealthy' is similar in meaning to 'rich'.,English Subjects,Synonyms
7,"Which Indian state/union territory has its capital at Mumbai, located in West India?",Odisha,Ladakh,Sikkim,Maharashtra,D,"Mumbai, the capital of Maharashtra, is located in West India.",Social Science,Indian States and Capitals
8,Which statement correctly describes a software update patch?,a small piece of code released to fix bugs or security vulnerabilities in existing software,a company or individual that sells software products or services,a distributed network of servers that delivers web content to users based on their geographic location,"software designed to manage computer hardware and provide a platform for application software, such as an operating system",A,"By definition, a software update patch is: a small piece of code released to fix bugs or security vulnerabilities in existing software",Software,Software Basics
9,What is a monitor?,dedicated memory on a graphics card used to store image data for rendering,"a socket on a motherboard used to install additional hardware components, such as graphics cards",an output device that visually displays information processed by a computer,a port used to connect a computer to a wired network using an ethernet cable,C,a monitor is: an output device that visually displays information processed by a computer,Hardware,Output Devices
10,Which statement correctly describes AI in agriculture?,a system that uses AI to identify potential new medications by analysing molecular data,an AI research and deployment company known for developing models such as GPT and DALL-E,"the application of AI for tasks such as crop monitoring, yield prediction, and precision farming","a search technique that understands the intent and contextual meaning of a query, rather than just matching keywords",C,"By definition, AI in agriculture is: the application of AI for tasks such as crop monitoring, yield prediction, and precision farming",AI – Artificial Intelligence,AI Applications
11,Which statement correctly describes one-hot encoding?,"a layer in a convolutional neural network that reduces the spatial size of data, decreasing computation and controlling overfitting",a technique used to convert categorical variables into a binary vector representation suitable for machine learning models,a machine learning technique that combines predictions from multiple models to improve overall performance,a technique used to address class imbalance by generating synthetic examples of the minority class,B,"By definition, one-hot encoding is: a technique used to convert categorical variables into a binary vector representation suitable for machine learning models",ML – Machine Learning,ML Basics
12,What is the national animal of India?,"the Indian Peacock, known for its colourful plumage","the Bengal Tiger, a symbol of India's wildlife conservation efforts","'Jana Gana Mana', written by Rabindranath Tagore and adopted in 1950","the Lotus, which symbolises purity and grace in Indian culture",B,"the national animal of India is: the Bengal Tiger, a symbol of India's wildlife conservation efforts",General Knowledge (GK),India Facts
13,A team needs 233 runs to win from 1.4 overs remaining. What is the required run rate (runs per over)?,168.43,166.93,166.43,164.93,C,Required run rate = Runs needed / Overs remaining = 233 / 1.4 ≈ 166.43.,Cricket,Scoring Calculations
14,A shopkeeper buys an item for ₹665 and sells it at a 50% loss. What is the selling price?,333,353,253,283,A,Loss amount = 50% of 665 = ₹332. Selling price = 665 - 332 = ₹333.,Aptitude,Profit and Loss
15,"Which term matches this description: ""a device or program, such as a web browser, that requests resources or services from a server""?",a reverse proxy,a client (in web development),a session (in web development),Ruby on Rails,B,"The description matches a client (in web development): a device or program, such as a web browser, that requests resources or services from a server",Web Development,Backend
16,"If today is Saturday, what day of the week will it be after 145 days?",Monday,Thursday,Sunday,Saturday,B,145 days = 20 full weeks and 5 extra day(s). Counting 5 day(s) forward from Saturday gives Thursday.,Puzzles,Calendar Puzzles
17,"White has 1 knight, 2 bishops, 1 rook, 1 queen. Black has 5 pawns, 1 knight, 2 bishops, 1 rook, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 2 point(s),White is ahead by 7 point(s),Black is ahead by 2 point(s),Black is ahead by 5 point(s),D,"White's material = 23. Black's material = 28. Difference = 5, so Black is ahead by 5 point(s).",Chess,Piece Values
18,What is 4088 - 2608?,1460,1479,1480,1481,C,4088 - 2608 = 1480.,Math / Mathematics,Subtraction
19,"Fill in the blank: ______ refers to ""a war fought between North and South Korea from 1950 to 1953, involving international forces on both sides"".",Christopher Columbus,Mao Zedong,the Korean War,the Cold War,C,"the Korean War refers to: a war fought between North and South Korea from 1950 to 1953, involving international forces on both sides",History,Modern History
20,What is a base (alkali)?,atoms of the same element with the same number of protons but a different number of neutrons,a homogeneous mixture formed when a solute dissolves in a solvent,a substance that accepts hydrogen ions and has a pH greater than 7,a chemical reaction involving the loss of electrons by a substance,C,a base (alkali) is: a substance that accepts hydrogen ions and has a pH greater than 7,Science,Chemistry
21,What is a blue moon?,"Earth's only natural satellite, which influences tides and is about 384,400 km from Earth","a phenomenon where a moon's rotation period matches its orbital period, causing it to always show the same face to its parent planet",the second full moon occurring within a single calendar month,"the regular rise and fall of sea levels, caused primarily by the gravitational pull of the Moon and Sun",C,a blue moon is: the second full moon occurring within a single calendar month,Space,Moon
22,Which statement correctly describes Kannada?,a Dravidian language predominantly spoken in the Indian state of Karnataka,"Kannada, Tamil, and Telugu are all Dravidian languages, though each has distinct scripts, grammar, and vocabulary","meaning 'speech' or 'language', often used poetically to refer to the Kannada language itself","the state of Karnataka in southern India, along with parts of neighbouring states",A,"By definition, Kannada is: a Dravidian language predominantly spoken in the Indian state of Karnataka",Kannada Subjects,Kannada Language
23,What is a homonym?,a word that is spelled and/or pronounced the same as another word but has a different meaning,"a sentence that reports the exact words spoken by someone, usually in quotation marks",a sentence with one independent clause and at least one dependent clause,"a verb tense used for actions that were ongoing in the past, e.g. 'She was walking to school.'",A,a homonym is: a word that is spelled and/or pronounced the same as another word but has a different meaning,English Subjects,Vocabulary
24,"Which term matches this description: ""a sudden shaking of the ground caused by movements within the Earth's crust, often along fault lines""?",a wetland,an earthquake,plate tectonics,biosphere reserves,B,"The description matches an earthquake: a sudden shaking of the ground caused by movements within the Earth's crust, often along fault lines",Social Science,Geography
25,"Fill in the blank: ______ refers to ""a mathematical notation used to describe the efficiency or complexity of an algorithm"".",hard-coding,a queue (data structure),a variable in programming,Big O notation,D,Big O notation refers to: a mathematical notation used to describe the efficiency or complexity of an algorithm,Software,Programming
26,How many Petabyte (PB)s is 38 Byte(s) equal to?,3.45608e-11,1.68754e-14,3.37508e-17,3.37508e-14,D,"1 Byte = 1024^-5 Petabyte (PB)(s) (relative scale), so 38 Byte(s) = 3.37508e-14 Petabyte (PB)(s).",Hardware,Storage Units
27,What is fuzzy logic?,a formal representation of a set of concepts and the relationships between them within a specific domain,the ability of an AI model to correctly perform a task it has not been explicitly trained on,a form of logic used in AI that allows for degrees of truth rather than strict true/false values,"a field of AI inspired by the collective behaviour of decentralised systems, such as ant colonies or bird flocks",C,fuzzy logic is: a form of logic used in AI that allows for degrees of truth rather than strict true/false values,AI – Artificial Intelligence,AI Basics
28,"A classifier has 93 true positives, 190 true negatives, 9 false positives, and 34 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.77,1.00,0.87,0.57,C,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (93+190)/(93+190+9+34) = 0.87.,ML – Machine Learning,Model Evaluation
29,What is the capital of Myanmar?,Jakarta,Astana,Cairo,Naypyidaw,D,The capital of Myanmar is Naypyidaw.,General Knowledge (GK),Countries and Capitals
30,A team scores at a run rate of 7.23 runs per over for 29 overs. Approximately how many runs have they scored?,210,220,190,230,A,Runs ≈ Run rate × Overs = 7.23 × 29 ≈ 210 runs.,Cricket,Scoring Calculations
31,Is 531 divisible by 3?,No,Only sometimes,Cannot say,Yes,D,"531 ÷ 3 leaves remainder 0, so the answer is Yes.",Aptitude,Divisibility
32,Which statement correctly describes API rate limiting?,an architectural style for designing networked applications using standard HTTP methods to access resources,interfaces provided by a backend server that allow client applications to request and send data,"an HTTP method used to send data to a server, often to create a new resource",a technique used to control the number of requests a client can make to an API within a given time period,D,"By definition, API rate limiting is: a technique used to control the number of requests a client can make to an API within a given time period",Web Development,Backend
