Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
"White has 1 knight, 2 bishops, 1 rook, 1 queen. Black has 5 pawns, 1 knight, 2 bishops, 1 rook, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 2 point(s),White is ahead by 7 point(s),Black is ahead by 2 point(s),Black is ahead by 5 point(s),D,"White's material = 23. Black's material = 28. Difference = 5, so Black is ahead by 5 point(s).",Chess,Piece Values
"White has 1 pawn, 1 bishop, 1 rook, 1 queen. Black has 7 pawns, 1 bishop, 1 rook. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 2 point(s),White is ahead by 4 point(s),Black is ahead by 6 point(s),White is ahead by 3 point(s),D,"White's material = 18. Black's material = 15. Difference = 3, so White is ahead by 3 point(s).",Chess,Piece Values
"White has 5 pawns, 2 knights, 1 queen. Black has 4 pawns, 1 knight, 2 bishops, 2 rooks, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 11 point(s),White is ahead by 9 point(s),Black is ahead by 11 point(s),Black is ahead by 12 point(s),D,"White's material = 20. Black's material = 32. Difference = 12, so Black is ahead by 12 point(s).",Chess,Piece Values
"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 4 pawns, 1 rook, 1 queen?",14,17,19,18,D,Total value = 4×1 + 1×5 + 1×9 = 18.,Chess,Piece Values
"White has 6 pawns, 2 bishops, 1 rook, 1 queen. Black has 7 pawns, 1 knight, 2 bishops, 2 rooks, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 11 point(s),White is ahead by 8 point(s),Black is ahead by 7 point(s),Black is ahead by 9 point(s),D,"White's material = 26. Black's material = 35. Difference = 9, so Black is ahead by 9 point(s).",Chess,Piece Values
"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 8 pawns, 2 knights, 2 bishops, 2 rooks?",27,30,29,28,B,Total value = 8×1 + 2×3 + 2×3 + 2×5 = 30.,Chess,Piece Values
"White has 2 pawns, 1 knight, 2 bishops, 2 rooks, 1 queen. Black has 8 pawns, 2 knights, 2 rooks, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 6 point(s),Black is ahead by 1 point(s),White is ahead by 4 point(s),Black is ahead by 3 point(s),D,"White's material = 30. Black's material = 33. Difference = 3, so Black is ahead by 3 point(s).",Chess,Piece Values
"Fill in the blank: ______ refers to ""the phase of a chess game following the opening, where tactical and strategic battles typically occur"".",the value of a bishop,the pawn's movement,the middlegame,the King's Indian Defence,C,"the middlegame refers to: the phase of a chess game following the opening, where tactical and strategic battles typically occur",Chess,Game Phases
"In algebraic chess notation, is the square g5 a light or dark square?",cannot be determined,depends on the piece,light,dark,D,"Square g5: file g (position 7) and rank 5. Since their sum has the parity it does, g5 is a dark square.",Chess,Notation
"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 5 pawns, 1 rook?",10,9,6,13,A,Total value = 5×1 + 1×5 = 10.,Chess,Piece Values
"White has 3 pawns, 2 knights, 2 bishops, 1 rook, 1 queen. Black has 3 pawns, 2 knights, 1 bishop, 2 rooks, 1 queen. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 4 point(s),Black is ahead by 2 point(s),White is ahead by 1 point(s),Black is ahead by 1 point(s),B,"White's material = 29. Black's material = 31. Difference = 2, so Black is ahead by 2 point(s).",Chess,Piece Values
"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 3 pawns, 2 knights, 2 bishops, 2 rooks, 1 queen?",32,35,34,33,C,Total value = 3×1 + 2×3 + 2×3 + 2×5 + 1×9 = 34.,Chess,Piece Values
"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 2 pawns, 1 knight, 1 rook?",14,10,11,13,B,Total value = 2×1 + 1×3 + 1×5 = 10.,Chess,Piece Values
What is the middlegame?,"a position where a king is in check and there is no legal move to escape it, ending the game","the phase of a chess game following the opening, where tactical and strategic battles typically occur","a piece that can move one square in any direction, but cannot move into check",a special pawn capture that can occur when a pawn moves two squares from its starting position and lands beside an opposing pawn,B,"the middlegame is: the phase of a chess game following the opening, where tactical and strategic battles typically occur",Chess,Game Phases
"White has 7 pawns, 1 bishop, 2 rooks, 1 queen. Black has 3 pawns, 1 knight, 2 bishops, 2 rooks. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 7 point(s),Black is ahead by 6 point(s),White is ahead by 8 point(s),White is ahead by 5 point(s),A,"White's material = 29. Black's material = 22. Difference = 7, so White is ahead by 7 point(s).",Chess,Piece Values
"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 6 pawns, 1 bishop, 1 rook?",17,14,16,10,B,Total value = 6×1 + 1×3 + 1×5 = 14.,Chess,Piece Values
"White has 4 pawns, 2 knights, 1 bishop, 2 rooks. Black has 4 pawns, 1 knight, 1 rook, 1 queen. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 5 point(s),White is ahead by 2 point(s),Black is ahead by 3 point(s),White is ahead by 1 point(s),B,"White's material = 23. Black's material = 21. Difference = 2, so White is ahead by 2 point(s).",Chess,Piece Values
"Fill in the blank: ______ refers to ""one of the most popular chess openings, beginning with 1.e4 c5"".",the Ruy López opening,the endgame,the Sicilian Defence,Bobby Fischer,C,"the Sicilian Defence refers to: one of the most popular chess openings, beginning with 1.e4 c5",Chess,Openings
"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 3 pawns, 1 knight?",8,4,9,6,D,Total value = 3×1 + 1×3 = 6.,Chess,Piece Values
"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 1 pawn, 2 bishops, 1 rook?",12,10,8,13,A,Total value = 1×1 + 2×3 + 1×5 = 12.,Chess,Piece Values
"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 7 pawns, 2 knights, 2 rooks, 1 queen?",35,34,32,33,C,Total value = 7×1 + 2×3 + 2×5 + 1×9 = 32.,Chess,Piece Values
"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 7 pawns?",8,5,6,7,D,Total value = 7×1 = 7.,Chess,Piece Values
"Which term matches this description: ""a tactic similar to a pin, where a valuable piece is attacked and forced to move, exposing a less valuable piece behind it""?",a fork,a discovered attack,a smothered mate,a skewer,D,"The description matches a skewer: a tactic similar to a pin, where a valuable piece is attacked and forced to move, exposing a less valuable piece behind it",Chess,Tactics
"White has 3 pawns, 2 knights, 2 bishops, 1 queen. Black has 7 pawns, 1 knight, 1 bishop, 1 rook, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 2 point(s),Black is ahead by 5 point(s),Black is ahead by 1 point(s),Black is ahead by 3 point(s),D,"White's material = 24. Black's material = 27. Difference = 3, so Black is ahead by 3 point(s).",Chess,Piece Values
"White has 8 pawns, 2 bishops, 2 rooks, 1 queen. Black has 1 pawn, 2 knights, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 19 point(s),White is ahead by 14 point(s),Black is ahead by 14 point(s),White is ahead by 17 point(s),D,"White's material = 33. Black's material = 16. Difference = 17, so White is ahead by 17 point(s).",Chess,Piece Values
"White has 1 pawn, 1 knight, 1 bishop, 1 rook, 1 queen. Black has 1 bishop. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 18 point(s),White is ahead by 15 point(s),White is ahead by 19 point(s),Black is ahead by 19 point(s),A,"White's material = 21. Black's material = 3. Difference = 18, so White is ahead by 18 point(s).",Chess,Piece Values
Which statement correctly describes the value of a knight?,"a method for calculating the relative skill levels of chess players, developed by Arpad Elo",generally considered to be worth about 3 points,a piece that moves forward one square (or two on its first move) and captures diagonally,"a checkmate delivered along a player's first rank, often because their own pawns block the king's escape",B,"By definition, the value of a knight is: generally considered to be worth about 3 points",Chess,Piece Values
"White has 2 pawns, 2 knights, 1 rook, 1 queen. Black has 1 knight, 2 bishops, 2 rooks. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 5 point(s),White is ahead by 1 point(s),White is ahead by 3 point(s),Black is ahead by 4 point(s),C,"White's material = 22. Black's material = 19. Difference = 3, so White is ahead by 3 point(s).",Chess,Piece Values
"White has 3 pawns, 2 knights, 1 rook, 1 queen. Black has 3 pawns, 2 bishops, 2 rooks. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 7 point(s),White is ahead by 4 point(s),White is ahead by 5 point(s),White is ahead by 3 point(s),B,"White's material = 23. Black's material = 19. Difference = 4, so White is ahead by 4 point(s).",Chess,Piece Values
"White has 1 pawn, 1 rook. Black has 2 pawns, 2 knights, 2 rooks, 1 queen. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 24 point(s),Black is ahead by 21 point(s),Black is ahead by 20 point(s),White is ahead by 20 point(s),B,"White's material = 6. Black's material = 27. Difference = 21, so Black is ahead by 21 point(s).",Chess,Piece Values
"White has 2 pawns, 2 knights, 1 bishop, 1 queen. Black has 2 pawns, 1 knight, 1 rook. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 11 point(s),White is ahead by 8 point(s),White is ahead by 7 point(s),White is ahead by 10 point(s),D,"White's material = 20. Black's material = 10. Difference = 10, so White is ahead by 10 point(s).",Chess,Piece Values
What is the Ruy López opening?,a classical chess opening beginning with 1.e4 e5 2.Nf3 Nc6 3.Bb5,"a checkmate delivered along a player's first rank, often because their own pawns block the king's escape",a rule allowing a draw to be claimed if the same position occurs three times with the same player to move,a tactic where a piece cannot move without exposing a more valuable piece behind it to attack,A,the Ruy López opening is: a classical chess opening beginning with 1.e4 e5 2.Nf3 Nc6 3.Bb5,Chess,Openings
"White has 7 pawns, 1 bishop. Black has 2 pawns, 1 knight, 1 queen. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 7 point(s),Black is ahead by 6 point(s),Black is ahead by 4 point(s),Black is ahead by 1 point(s),C,"White's material = 10. Black's material = 14. Difference = 4, so Black is ahead by 4 point(s).",Chess,Piece Values
"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 3 pawns, 1 bishop, 2 rooks?",15,19,17,16,D,Total value = 3×1 + 1×3 + 2×5 = 16.,Chess,Piece Values
