Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
"If today is Saturday, what day of the week will it be after 145 days?",Monday,Thursday,Sunday,Saturday,B,145 days = 20 full weeks and 5 extra day(s). Counting 5 day(s) forward from Saturday gives Thursday.,Puzzles,Calendar Puzzles
What is the angle between the hour and minute hands of a clock at 4:21?,40.5°,49.5°,14.5°,4.5°,D,Angle = |30×hour − 5.5×minute| = |30×4 − 5.5×21| = 4.5° (taking the smaller angle).,Puzzles,Clock Puzzles
"Find the next number in the sequence: 18, 20, 38, 58, 96, ?",154,159,157,162,A,Each number is the sum of the two before it. Next = 58 + 96 = 154.,Puzzles,Number Sequence
"In each row, the third number is the product of the first two: [10, 11, 110], [4, 10, 40], [2, 7, ?]. Find the missing number.",12,14,8,24,B,"Following the pattern, the missing number = 2 × 7 = 14.",Puzzles,Pattern Puzzle
"If today is Monday, what day of the week will it be after 53 days?",Thursday,Wednesday,Sunday,Friday,D,53 days = 7 full weeks and 4 extra day(s). Counting 4 day(s) forward from Monday gives Friday.,Puzzles,Calendar Puzzles
"Which number is the odd one out: 84, 89, 63, 60?",84,89,60,63,B,89 is the odd one out because it is not a multiple of 3; the rest are.,Puzzles,Odd One Out
"Which number is the odd one out: 9, 24, 74, 33?",9,24,33,74,D,74 is the odd one out because it is not a multiple of 3; the rest are.,Puzzles,Odd One Out
"Which number is the odd one out: 14, 11, 17, 13?",11,17,13,14,D,14 is the odd one out because it is not a prime number; the rest are prime.,Puzzles,Odd One Out
"Find the next number in the sequence: 1, 15, 16, 31, 47, ?",73,78,81,74,B,Each number is the sum of the two before it. Next = 31 + 47 = 78.,Puzzles,Number Sequence
"Find the next number in the sequence: 15, 22, 29, 36, 43, ?",44,64,52,50,D,Each term increases by 7. Next term = 43 + 7 = 50.,Puzzles,Number Sequence
"In each row, the third number is the sum of the first two: [3, 9, 12], [6, 16, 22], [5, 3, ?]. Find the missing number.",8,10,7,9,A,"Following the pattern, the missing number = 5 + 3 = 8.",Puzzles,Pattern Puzzle
"If today is Tuesday, what day of the week will it be after 105 days?",Saturday,Tuesday,Sunday,Monday,B,105 days = 15 full weeks and 0 extra day(s). Counting 0 day(s) forward from Tuesday gives Tuesday.,Puzzles,Calendar Puzzles
"Find the next number in the sequence: 2, 12, 14, 26, 40, ?",66,61,69,74,A,Each number is the sum of the two before it. Next = 26 + 40 = 66.,Puzzles,Number Sequence
"If today is Thursday, what day of the week will it be after 20 days?",Saturday,Wednesday,Tuesday,Sunday,B,20 days = 2 full weeks and 6 extra day(s). Counting 6 day(s) forward from Thursday gives Wednesday.,Puzzles,Calendar Puzzles
"In each row, the third number is the product of the first two: [4, 12, 48], [13, 4, 52], [12, 9, ?]. Find the missing number.",98,108,114,118,B,"Following the pattern, the missing number = 12 × 9 = 108.",Puzzles,Pattern Puzzle
What is the angle between the hour and minute hands of a clock at 12:36?,153.0°,177.0°,162.0°,152.0°,C,Angle = |30×hour − 5.5×minute| = |30×12 − 5.5×36| = 162.0° (taking the smaller angle).,Puzzles,Clock Puzzles
"In each row, the third number is the sum of the first two: [18, 7, 25], [8, 10, 18], [18, 18, ?]. Find the missing number.",40,34,32,36,D,"Following the pattern, the missing number = 18 + 18 = 36.",Puzzles,Pattern Puzzle
"Find the next number in the sequence: 14, 18, 32, 50, 82, ?",128,136,132,129,C,Each number is the sum of the two before it. Next = 50 + 82 = 132.,Puzzles,Number Sequence
"If today is Sunday, what day of the week will it be after 88 days?",Friday,Monday,Wednesday,Thursday,D,88 days = 12 full weeks and 4 extra day(s). Counting 4 day(s) forward from Sunday gives Thursday.,Puzzles,Calendar Puzzles
What is the angle between the hour and minute hands of a clock at 5:58?,146.0°,179.0°,124.0°,169.0°,D,Angle = |30×hour − 5.5×minute| = |30×5 − 5.5×58| = 169.0° (taking the smaller angle).,Puzzles,Clock Puzzles
"If today is Sunday, what day of the week will it be after 188 days?",Thursday,Friday,Saturday,Wednesday,C,188 days = 26 full weeks and 6 extra day(s). Counting 6 day(s) forward from Sunday gives Saturday.,Puzzles,Calendar Puzzles
"Find the next number in the sequence: 841, 900, 961, 1024, 1089, ?",1161,1155,1156,1157,C,These are perfect squares of consecutive integers starting from 29. Next = 34² = 1156.,Puzzles,Number Sequence
"If today is Monday, what day of the week will it be after 121 days?",Wednesday,Sunday,Saturday,Monday,A,121 days = 17 full weeks and 2 extra day(s). Counting 2 day(s) forward from Monday gives Wednesday.,Puzzles,Calendar Puzzles
"If today is Wednesday, what day of the week will it be after 74 days?",Friday,Wednesday,Thursday,Sunday,D,74 days = 10 full weeks and 4 extra day(s). Counting 4 day(s) forward from Wednesday gives Sunday.,Puzzles,Calendar Puzzles
A child is 14 years old and a parent is 42 years old today. In how many years will the parent be exactly twice as old as the child?,14,18,17,10,A,Let x = years from now. 42+x = 2(14+x) → x = 42 − 2×14 = 14.,Puzzles,Logical Riddles
What is the angle between the hour and minute hands of a clock at 4:31?,80.5°,50.5°,5.5°,65.5°,B,Angle = |30×hour − 5.5×minute| = |30×4 − 5.5×31| = 50.5° (taking the smaller angle).,Puzzles,Clock Puzzles
"Find the next number in the sequence: 49, 59, 69, 79, 89, ?",99,97,88,90,A,Each term increases by 10. Next term = 89 + 10 = 99.,Puzzles,Number Sequence
