Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Which statement correctly describes a generator?,"the number of wave cycles that occur per unit of time, measured in hertz",the rate at which work is done or energy is transferred,a device that converts mechanical energy into electrical energy,"the flow of electric charge, usually carried by electrons through a conductor",C,"By definition, a generator is: a device that converts mechanical energy into electrical energy",Science,Physics
What is a base (alkali)?,atoms of the same element with the same number of protons but a different number of neutrons,a homogeneous mixture formed when a solute dissolves in a solvent,a substance that accepts hydrogen ions and has a pH greater than 7,a chemical reaction involving the loss of electrons by a substance,C,a base (alkali) is: a substance that accepts hydrogen ions and has a pH greater than 7,Science,Chemistry
Which statement correctly describes a transformer?,an instrument used to measure electric potential difference (voltage),a device that converts electrical energy into mechanical energy,"a device that transfers electrical energy between circuits, typically changing voltage levels",the temperature at which a liquid turns into a gas,C,"By definition, a transformer is: a device that transfers electrical energy between circuits, typically changing voltage levels",Science,Physics
Which statement correctly describes static electricity?,the buildup of electric charge on the surface of an object,a closed path through which electric current flows,"vibrations that travel through a medium such as air, allowing us to hear",a device that converts electrical energy into mechanical energy,A,"By definition, static electricity is: the buildup of electric charge on the surface of an object",Science,Physics
What is the chemical symbol for Tellurium?,Ce,Te,Li,N,B,The chemical symbol for Tellurium is Te.,Science,Periodic Table
"Which term matches this description: ""the scientist who discovered penicillin in 1928, revolutionising the treatment of bacterial infections""?",the discovery of penicillin,Antonie van Leeuwenhoek,Gregor Mendel,Alexander Fleming,D,"The description matches Alexander Fleming: the scientist who discovered penicillin in 1928, revolutionising the treatment of bacterial infections",Science,Discoveries
"Fill in the blank: ______ refers to ""a device that converts electrical energy into mechanical energy"".",a parallel circuit,Newton's Second Law of Motion,a motor,a voltmeter,C,a motor refers to: a device that converts electrical energy into mechanical energy,Science,Physics
What is omnivores?,animals that eat both plants and other animals,the natural environment in which an organism lives,"an organism that breaks down dead organic matter, recycling nutrients back into the ecosystem",animals that feed exclusively on other animals,A,omnivores is: animals that eat both plants and other animals,Science,Biology
"Fill in the blank: ______ refers to ""a hard external skeleton that supports and protects the body of an animal, such as in insects"".",adaptation,germination,photosynthesis,an exoskeleton,D,"an exoskeleton refers to: a hard external skeleton that supports and protects the body of an animal, such as in insects",Science,Biology
What is the atomic number of Lanthanum?,60,58,56,57,D,Lanthanum has the atomic number 57.,Science,Periodic Table
