Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Which statement correctly describes a software update patch?,a small piece of code released to fix bugs or security vulnerabilities in existing software,a company or individual that sells software products or services,a distributed network of servers that delivers web content to users based on their geographic location,"software designed to manage computer hardware and provide a platform for application software, such as an operating system",A,"By definition, a software update patch is: a small piece of code released to fix bugs or security vulnerabilities in existing software",Software,Software Basics
"Fill in the blank: ______ refers to ""a mathematical notation used to describe the efficiency or complexity of an algorithm"".",hard-coding,a queue (data structure),a variable in programming,Big O notation,D,Big O notation refers to: a mathematical notation used to describe the efficiency or complexity of an algorithm,Software,Programming
Which file extension is typically used for a Microsoft PowerPoint presentation?,.txt,.log,.pptx,.iso,C,Files that are a Microsoft PowerPoint presentation typically use the extension '.pptx'.,Software,File Formats
Which statement correctly describes a programming language?,"a small, reusable block of source code that performs a specific function",a mechanism by which one class can acquire properties and behaviours from another class,"a formal language comprising a set of instructions used to produce various kinds of output, such as software programs","a high-level, general-purpose programming language known for its readability and wide use in data science and web development",C,"By definition, a programming language is: a formal language comprising a set of instructions used to produce various kinds of output, such as software programs",Software,Programming
Which statement correctly describes a syntax error?,a diagram that represents a process or algorithm using various symbols connected by arrows,"the bundling of data and methods that operate on that data within a single unit, restricting direct access to some components",an error caused by incorrect use of a programming language's grammar rules,a standard programming language used to manage and manipulate relational databases,C,"By definition, a syntax error is: an error caused by incorrect use of a programming language's grammar rules",Software,Programming
"Which term matches this description: ""software designed to run on multiple operating systems or platforms without modification""?",MongoDB,load balancing,cross-platform software,uptime,C,The description matches cross-platform software: software designed to run on multiple operating systems or platforms without modification,Software,Software Basics
"Fill in the blank: ______ refers to ""system software that manages computer hardware, software resources, and provides common services for programs"".",iOS,Windows,a file system,an operating system (OS),D,"an operating system (OS) refers to: system software that manages computer hardware, software resources, and provides common services for programs",Software,Operating Systems
"Which term matches this description: ""the practice of creating clear, structured documentation for technical products, such as user manuals""?",a repository (in version control),an API (Application Programming Interface),technical writing,a software architecture,C,"The description matches technical writing: the practice of creating clear, structured documentation for technical products, such as user manuals",Software,Software Development
What type of file typically has the extension '.css'?,a Microsoft Excel spreadsheet,a compressed image file (JPEG format),a stylesheet file used to style web pages,"a Scalable Vector Graphics file, used for resolution-independent images",C,A file with the extension '.css' is typically a stylesheet file used to style web pages.,Software,File Formats
"Which term matches this description: ""a package manager for JavaScript, used to install and manage software libraries and dependencies""?",malware,pip,a Trojan horse (malware),npm (Node Package Manager),D,"The description matches npm (Node Package Manager): a package manager for JavaScript, used to install and manage software libraries and dependencies",Software,Software Basics
Which statement correctly describes a build in software development?,an isolated testing environment that allows code to run without affecting the production system,"the process of converting source code into a standalone, executable software artefact",a short daily meeting in Agile development where team members discuss progress and blockers,"a version of software that is potentially ready for release, unless significant bugs are found",B,"By definition, a build in software development is: the process of converting source code into a standalone, executable software artefact",Software,Software Development
"Which term matches this description: ""a version of software that is potentially ready for release, unless significant bugs are found""?",load testing,a release candidate,continuous testing,a changelog,B,"The description matches a release candidate: a version of software that is potentially ready for release, unless significant bugs are found",Software,Software Development
"Which term matches this description: ""the process of reverting software to a previous stable version after a failed update or deployment""?",a rollback (in deployment),GitHub,a wireframe,continuous deployment (CD),A,The description matches a rollback (in deployment): the process of reverting software to a previous stable version after a failed update or deployment,Software,Software Development
Which statement correctly describes requirements gathering?,a tool that automatically reformats source code to follow consistent style guidelines,the person responsible for defining and prioritising the features of a product in Agile development,the process of determining the needs and expectations of stakeholders for a new software system,"written material that explains how software works, including its functionality, usage, and architecture",C,"By definition, requirements gathering is: the process of determining the needs and expectations of stakeholders for a new software system",Software,Software Development
What is a foreign key in a database?,"a field in one table that refers to the primary key in another table, establishing a relationship",software that secretly monitors and collects user information without their knowledge,"a package manager for JavaScript, used to install and manage software libraries and dependencies",the process of organising data to reduce redundancy and improve data integrity,A,"a foreign key in a database is: a field in one table that refers to the primary key in another table, establishing a relationship",Software,Software Basics
"Fill in the blank: ______ refers to ""an isolated testing environment that allows code to run without affecting the production system"".",a software requirement specification (SRS),a test case,a sandbox environment,white-box testing,C,a sandbox environment refers to: an isolated testing environment that allows code to run without affecting the production system,Software,Software Development
"Fill in the blank: ______ refers to ""a general-purpose programming language that extends the C language with object-oriented features"".",binary search,C++,a function in programming,Big O notation,B,C++ refers to: a general-purpose programming language that extends the C language with object-oriented features,Software,Programming
"Which term matches this description: ""a significant point or event in a project's timeline, marking progress toward completion""?",Agile methodology,a patch,a milestone in project management,a linter,C,"The description matches a milestone in project management: a significant point or event in a project's timeline, marking progress toward completion",Software,Software Development
Who is credited with creating the programming language C?,John McCarthy,"Robert Griesemer, Rob Pike, and Ken Thompson at Google",Dennis Ritchie,JetBrains,C,C is credited to Dennis Ritchie.,Software,Programming Languages
Which programming language was created by Brad Cox and Tom Love?,R,Objective-C,Pascal,C#,B,Objective-C was created by Brad Cox and Tom Love.,Software,Programming Languages
"Fill in the blank: ______ refers to ""software that is available for use at no cost, but not necessarily open-source"".",IaaS (Infrastructure as a Service),freeware,a computer virus,caching in software,B,"freeware refers to: software that is available for use at no cost, but not necessarily open-source",Software,Software Basics
What is software documentation?,a software testing method that examines functionality without looking at internal code structure,"a general, reusable solution to a commonly occurring problem in software design",a diagram used in software engineering to represent a user's interactions with a system,"written material that explains how software works, including its functionality, usage, and architecture",D,"software documentation is: written material that explains how software works, including its functionality, usage, and architecture",Software,Software Development
"Which term matches this description: ""software designed to detect, prevent, and remove malicious software from a computer""?",pip,a kernel,usability testing,antivirus software,D,"The description matches antivirus software: software designed to detect, prevent, and remove malicious software from a computer",Software,Application Software
What is PaaS (Platform as a Service)?,a package manager used to install and manage software packages written in Python,the process of distributing network or application traffic across multiple servers to ensure reliability,"a cloud computing model that provides a platform allowing developers to build, run, and manage applications",a type of malware that attaches itself to legitimate programs and replicates when the program is executed,C,"PaaS (Platform as a Service) is: a cloud computing model that provides a platform allowing developers to build, run, and manage applications",Software,Software Basics
What type of file typically has the extension '.iso'?,a disc image file,an Android application package file,an executable program file for Windows,a Portable Document Format file,A,A file with the extension '.iso' is typically a disc image file.,Software,File Formats
"Fill in the blank: ______ refers to ""an organised collection of structured data stored electronically for easy access and management"".",a virtual machine (VM),an environment variable,middleware,a database,D,a database refers to: an organised collection of structured data stored electronically for easy access and management,Software,Software Basics
Which file extension is typically used for a C++ programming language source code file?,.cpp,.pdf,.csv,.docx,A,Files that are a C++ programming language source code file typically use the extension '.cpp'.,Software,File Formats
"Fill in the blank: ______ refers to ""a widely used, class-based, object-oriented programming language designed to be platform-independent"".",an array,object-oriented programming (OOP),Java,inheritance in OOP,C,"Java refers to: a widely used, class-based, object-oriented programming language designed to be platform-independent",Software,Programming
Which statement correctly describes malware?,"a cloud computing model that provides a platform allowing developers to build, run, and manage applications",a widely used commercial relational database management system developed by Oracle Corporation,"malicious software designed to damage, disrupt, or gain unauthorised access to computer systems",a unique identifier for each record in a database table,C,"By definition, malware is: malicious software designed to damage, disrupt, or gain unauthorised access to computer systems",Software,Software Basics
